Year	Award Show	Category	Recipient(s)	Result
2000	National Television Awards	Most Popular Actress	Debra Stephenson	Nominated
2000	National Television Awards	Most Popular Drama	N/A	Won
2000	TV Quick Awards	Best Loved Drama	N/A	Won
2001	National Television Awards	Most Popular Actress	Debra Stephenson	Nominated
2001	National Television Awards	Most Popular Drama	N/A	Won
2001	TV Quick Awards	Best Loved Drama	N/A	Won
2001	TV Quick Awards	Best Actress	Debra Stephenson	Won
2002	National Television Awards	Most Popular Drama	N/A	Nominated
2002	TV Quick Awards	Best Loved Drama	N/A	Won
2002	TV Quick Awards	Best Actress	Claire King	Won
2003	National Television Awards	Most Popular Drama	N/A	Nominated
2003	TV Quick Awards	Best Loved Drama	N/A	Won
2003	TV Quick Awards	Best Actress	Claire King	Won
2004	National Television Awards	Most Popular Drama	N/A	Nominated
2004	TV Quick Awards	Best Actor	Jack Ellis	Won
2005	National Television Awards	Most Popular Drama	N/A	Nominated
2006	National Television Awards	Most Popular Drama	N/A	Nominated
