Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at Pittsburgh Steelers	W 37–33	53,305
2	September 13, 1981	Tampa Bay Buccaneers	W 19–10	50,555
3	September 20, 1981	San Diego Chargers	L 42–31	63,866
4	September 27, 1981	at Seattle Seahawks	W 20–14	59,255
5	October 4, 1981	at New England Patriots	L 33–17	55,931
6	October 11, 1981	Oakland Raiders	W 27–0	76,543
7	October 18, 1981	Denver Broncos	W 28–14	74,672
8	October 25, 1981	at Oakland Raiders	W 28–17	42,914
9	November 1, 1981	at San Diego Chargers	L 22–20	51,307
10	November 8, 1981	Chicago Bears	L 16–13	60,605
11	November 15, 1981	Houston Oilers	W 23–10	73,984
12	November 22, 1981	Seattle Seahawks	W 40–13	49,002
13	November 26, 1981	at Detroit Lions	L 27–10	76,735
14	December 6, 1981	at Denver Broncos	L 16–13	74,744
15	December 13, 1981	Miami Dolphins	L 17–7	57,407
16	December 20, 1981	at Minnesota Vikings	W 10–6	41,110
