District	Incumbent	Party	First elected	Results	Candidates
Georgia 1	Jack Kingston	Republican	1992	Re-elected	Jack Kingston (R) unopposed
Georgia 2	Sanford Bishop	Democratic	1992	Re-elected	Sanford Bishop (D) 57% Joseph F. McCormick (R) 43%
Georgia 3	Mac Collins	Republican	1992	Re-elected	Mac Collins (R) unopposed
Georgia 4	Cynthia McKinney	Democratic	1992	Re-elected	Cynthia McKinney (D) 61% Sunny Warren (R) 39%
Georgia 5	John Lewis	Democratic	1986	Re-elected	John Lewis (D) 79% John Lewis Sr. (R) 21%
Georgia 6	Newt Gingrich	Republican	1978	Re-elected	Newt Gingrich (R) 71% Gary Pelphrey (D) 29%
Georgia 7	Bob Barr	Republican	1994	Re-elected	Bob Barr (R) 55% James Williams (D) 45%
Georgia 8	Saxby Chambliss	Republican	1994	Re-elected	Saxby Chambliss (R) 62% Ronald Cain (D) 38%
Georgia 9	Nathan Deal	Republican	1992	Re-elected	Nathan Deal (R) unopposed
Georgia 10	Charlie Norwood	Republican	1994	Re-elected	Charlie Norwood (R) 59% Marion Freeman (D) 41%
