Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Simon Abadie Category:Articles with hCards	France	2003	0	20	0	0	0	0	19
Átila Abreu Category:Articles with hCards	Brazil	2005	0	20	0	0	0	0	12
Daniel Abt Category:Articles with hCards	Germany	2011	0	27	0	0	3	1	150
Sergey Afanasyev Category:Articles with hCards	Russia	2007	0	20 (18)	0	0	0	0	0
Cyndie Allemann Category:Articles with hCards	Switzerland	2007	0	20	0	0	0	0	0
Richard Antinucci Category:Articles with hCards	United States	2005 – 2006	0	28 (26)	0	2	5	0	41
Lucas Auer Category:Articles with hCards	Austria	2012	0	3	0	0	0	0	0
Bernhard Auinger Category:Articles with hCards	Austria	2003	0	20	0	0	0	0	15
Rob Austin Category:Articles with hCards	United Kingdom	2005	0	4	0	0	0	0	0
Philipp Baron Category:Articles with hCards	Austria	2003 – 2004	0	40 (38)	0	0	0	0	0
Jules Bianchi Category:Articles with hCards	France	2008 – 2009	1 ( 2009 )	40	8	11	19	9	161
Sam Bird Category:Articles with hCards	United Kingdom	2008 – 2009	0	38	1	0	6	2	63
Emil Bernstorff Category:Articles with hCards	United Kingdom	2012	0	24	0	0	1	0	91
Tom Blomqvist Category:Articles with hCards	United Kingdom	2012	0	24	0	0	2	0	157.5
Marco Bonanomi Category:Articles with hCards	Italy	2004 – 2005	0	40 (39)	0	0	1	0	21
Mirko Bortolotti Category:Articles with hCards	Italy	2009	0	2	0	0	1	0	0
Valtteri Bottas Category:Articles with hCards	Finland	2009 – 2010	0	38	3	2	14	5	136
Niall Breen Category:Articles with hCards	Ireland	2008	0	16	0	0	1	0	8
Ryan Briscoe Category:Articles with hCards	Australia	2003	1 ( 2003 )	20	4	8	10	5	110
Récardo Bruins Choi Category:Articles with hCards	South Korea	2006	0	2	0	0	0	0	0
Sébastien Buemi Category:Articles with hCards	Switzerland	2006 – 2007	0	40	2	4	14	10	126
William Buller Category:Articles with hCards	United Kingdom	2012	0	24	1	2	7	1	182.5
Yelmer Buurman Category:Articles with hCards	Netherlands	2006 – 2007	0	24	0	0	3	0	41
Andrea Caldarelli Category:Articles with hCards	Italy	2009	0	20	0	0	1	1	11
César Campaniço Category:Articles with hCards	Portugal	2003	0	16	0	0	0	0	13
Daniel Campos-Hull Category:Articles with hCards	Spain	2008	0	20	0	0	0	0	0
Ruben Carrapatoso Category:Articles with hCards	Brazil	2004	0	8	0	0	0	0	0
Fabio Carbone Category:Articles with hCards	Brazil	2003 , 2005	0	40	0	1	4	0	70
Adam Carroll Category:Articles with hCards	United Kingdom	2003	0	8	0	0	0	0	7
Johnny Cecotto, Jr. Category:Articles with hCards	Venezuela	2009	0	12	0	0	0	0	0
Matteo Chinosi Category:Articles with hCards	Italy	2009	0	8	0	0	0	0	0
Yann Clairay Category:Articles with hCards	France	2007 – 2008	0	40	0	0	3	2	46
Dani Clos Category:Articles with hCards	Spain	2007 – 2008	0	40	0	0	2	1	29.5
Ben Clucas Category:Articles with hCards	United Kingdom	2005	0	2	0	0	0	0	0
Stefano Coletti Category:Articles with hCards	Monaco	2008 – 2009	0	36 (35)	0	1	2	2	25.5
Cheng Congfu Category:Articles with hCards	China	2008	0	16	0	0	0	0	0
Alon Day Category:Articles with hCards	Israel	2011	0	6	0	0	0	0	0
Pipo Derani Category:Articles with hCards	Brazil	2012	0	6	0	0	0	0	0
Michael Devaney Category:Articles with hCards	Ireland	2007	0	2	0	0	0	0	0
Lucas Di Grassi Category:Articles with hCards	Brazil	2003 , 2005	0	24 (23)	2	1	6	1	73
Paul di Resta Category:Articles with hCards	United Kingdom	2005 – 2006	1 ( 2006 )	40	8	5	10	3	118
Tom Dillmann Category:Articles with hCards	France	2007 – 2009 , 2011	0	42 (40)	0	0	5	0	31
Robert Doornbos Category:Articles with hCards	Netherlands	2003	0	20	0	0	3	0	40
Loïc Duval Category:Articles with hCards	France	2004 – 2005	0	40 (39)	0	0	7	0	74
Philip Ellis Category:Articles with hCards	United Kingdom	2012	0	9	0	0	0	0	0
Peter Elkmann Category:Articles with hCards	Germany	2004 , 2006 , 2008	0	28	0	1	2	1	14
Maro Engel Category:Articles with hCards	Germany	2003	0	8	0	0	0	0	0
Pedro Enrique Category:Articles with hCards	Brazil	2009	0	20	0	0	0	0	0
Jimmy Eriksson Category:Articles with hCards	Sweden	2010	0	29	0	0	0	0	93
