Element	Wood	Fire	Earth	Metal	Water
Color	Green	Red	Yellow	White	Black
Direction	east	south	center	west	north
Planet	Jupiter	Mars	Saturn	Venus	Mercury
Heavenly creature	Azure Dragon 青龍	Vermilion Bird 朱雀	Yellow Dragon 黃龍	White Tiger 白虎	Black Tortoise 玄武
Heavenly Stems	甲 , 乙	丙 , 丁	戊 , 己	庚 , 辛	壬 , 癸
Phase	New Yang	Full Yang	Yin/Yang balance	New Yin	Full Yin
Energy	Generative	Expansive	Stabilizing	Contracting	Conserving
Season	Spring	Summer	Change of seasons (Every third month)	Autumn	Winter
Climate	Windy	Hot	Damp	Dry	Cold
Development	Sprouting	Blooming	Ripening	Withering	Dormant
Livestock	dog	sheep / goat	cattle	chicken	pig
Fruit	plum	apricot	jujube	peach	chestnut
Grain	wheat	beans	rice	hemp	millet
