Edition	Round	Date	Against	Surface	Opponent	Result
2002 Fed Cup Europe/Africa Group I	RR	24 April 2002	Bulgaria	Clay	Desislava Topalova	6–7 (4–7) , 1–6
2005 Fed Cup Europe/Africa Group III	RR	26 April 2005	Moldova	Clay	Ina Sireteanu	6–1, 6–1
2005 Fed Cup Europe/Africa Group III	GIII Play-offs	28 April 2005	Bosnia and Herzegovina	Clay	Selma Babic	6–3, 6–0
2007 Fed Cup Europe/Africa Group II	RR	17–19 April 2007	Bosnia and Herzegovina	Hard	Dijana Stojic	6–3, 6–3
2007 Fed Cup Europe/Africa Group II	RR	17–19 April 2007	Georgia	Hard	Oksana Kalashnikova	7–5, 6–4
2007 Fed Cup Europe/Africa Group II	RR	17–19 April 2007	Norway	Hard	Karoline Steiro	6–2, 6–1
2007 Fed Cup Europe/Africa Group II	GII Play-offs	20 April 2007	Greece	Hard	Asimina Kaplani	6–2, 6–1
2008 Fed Cup Europe/Africa Group I	RR	30 January–3 February 2008	Bulgaria	Carpet	Tsvetana Pironkova	1–6, 0–6
2008 Fed Cup Europe/Africa Group I	RR	30 January–3 February 2008	Netherlands	Carpet	Arantxa Rus	5–7, 4–6
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Morocco	Hard	Nadia Lalami	6–1, 6–0
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Latvia	Hard	Irina Kuzmina	6–2, 6–1
2009 Fed Cup Europe/Africa Group II	GII Play-offs	25 April 2009	South Africa	Hard	Lizaan du Plessis	6–2, 6–3
2010 Fed Cup Europe/Africa Group I	RR	4–5 February 2010	Cratia	Hard	Ajla Tomljanović	6–7 (6–8) , 4–6
2010 Fed Cup Europe/Africa Group I	RR	4–5 February 2010	Switzerland	Hard	Amra Sadikovic	4–6, 1–6
2010 Fed Cup Europe/Africa Group I	GI Play-offs	6 February 2010	Bulgaria	Hard	Dia Evtimova	1–6, 1–6
