Rider	Manufacturer	Laps	Time	Grid
Casey Stoner	Ducati	30	44:44.982	1
Valentino Rossi	Yamaha	30	+5.789	2
Dani Pedrosa	Honda	30	+8.347	9
Colin Edwards	Yamaha	30	+12.678	5
Andrea Dovizioso	Honda	30	+14.801	6
Jorge Lorenzo	Yamaha	30	+15.690	17
Nicky Hayden	Honda	30	+18.196	4
Chris Vermeulen	Suzuki	30	+21.666	3
Shinya Nakano	Honda	30	+29.354	10
Anthony West	Kawasaki	30	+41.030	7
Toni Elias	Ducati	30	+44.426	18
Randy de Puniet	Honda	30	+46.199	14
Sylvain Guintoli	Ducati	30	+48.731	12
Ben Spies	Suzuki	30	+49.591	8
Alex de Angelis	Honda	30	+1:22.186	13
Marco Melandri	Ducati	30	+1:30.021	15
James Toseland	Yamaha	29	+1 Lap	16
John Hopkins	Kawasaki	16	Retirement	11
