Pos.	Nationality	Previous team	NBA years [a ]	Career with the franchise [b ]
F	United States	Washington Wizards	2	2006
G	Bosnia and Herzegovina [d ]	Golden State Warriors	2	— [c ]
C	Slovenia	Indiana Pacers	3	2004 – 2007
G	United States	New Orleans Hornets	1	— [c ]
C	Montenegro [e ]	Los Angeles Clippers	3	— [c ]
G/F	United States	Portland Trail Blazers	1	— [c ]
F	United States	Chicago Bulls	4	— [c ]
G	United States	Seattle SuperSonics	1	— [c ]
F	United States	Boston Celtics	1	— [c ]
F	United States	Cleveland Cavaliers	1	2004–2005
C	Georgia	Orlando Magic	1	— [c ]
G/F	Serbia [f ]	Utah Jazz	1	— [c ]
F/C	United States	Los Angeles Lakers	2	2004–2005
G	United States	New Jersey Nets	2	2004–2005
F	United States	Memphis Grizzlies	1	2004–2005
G	United States	Denver Nuggets	3	— [c ]
F	United States	Sacramento Kings	3	2004 – 2011
F/C	United States	Phoenix Suns	6	2004–2005
F/C	United States	Miami Heat	3	— [c ]
