January–December 2012	Birth/2012	Birth/2011	Death/2012	Death/2011
Chechnya	259	289	54	53
Ingushetia	226	259	37	41
Dagestan	190	181	56	56
Kabardino-Balkaria	159	149	89	94
North Ossetia-Alania	150	145	106	108
Karachay-Cherkessia	135	131	97	97
Stavropol Krai	125	118	120	123
Ural Federal District	151	142	126	127
Khanty-Mansi Autonomous Okrug	176	164	63	65
Tyumen Oblast	172	161	84	86
Yamalo-Nenets Autonomous Okrug	167	156	53	54
Chelyabinsk Oblast	143	136	142	142
Sverdlovsk Oblast	143	135	139	141
Kurgan Oblast	138	127	159	157
Siberian Federal District	149	141	136	138
Tuva	265	271	111	109
Altai Republic	224	225	114	122
Buriatia	174	169	124	126
Zabaykalsky Krai	161	154	130	132
Khakassia	160	151	133	135
Irkutsk Oblast	159	153	138	140
Omsk Oblast	149	135	138	135
Krasnoyarsk Oblast	145	135	129	131
Novosibirsk Oblast	139	131	136	136
Kemerovo Oblast	137	127	151	155
Tomsk Oblast	136	131	119	122
Altai Krai	136	127	146	146
Far East Federal District	139	132	130	134
Sakha Republic	176	171	93	93
Amur Oblast	143	135	147	147
Chukotka Autonomous Okrug	141	137	115	111
Jewish Autonomous Oblast	140	141	151	153
Khabarovsk Krai	136	129	135	146
Kamchatka Krai	130	124	115	120
Sakhalin Oblast	128	118	138	141
Primorsky Krai	126	119	137	141
Magadan Oblast	124	115	126	129
Volga Federal District	132	124	139	144
Udmurtia	152	143	128	134
Perm Krai	148	140	142	147
Orenburg Oblast	147	138	139	143
Bashkortostan	145	137	131	134
Tatarstan	145	134	122	124
Mari El	142	130	136	141
Chuvashia Republic	140	129	133	135
Kirov Oblast	127	118	155	158
Samara Oblast	121	115	139	144
Nizhny Novgorod Oblast	118	110	160	164
Ulyanovsk Oblast	113	108	141	148
Saratov Oblast	113	107	142	145
Penza Oblast	108	101	149	152
Mordovia	99	95	144	148
Southern Federal District	126	118	134	137
Astrakhan Oblast	151	142	126	130
Kalmukia	148	145	100	101
Krasnodar Krai	131	122	131	136
Adygea	128	125	134	138
Volgograd Oblast	117	111	135	138
Rostov Oblast	117	109	140	142
North-West Federal District	122	115	138	140
Nenets Autonomous Okrug	174	150	102	104
Komi Republic	139	130	121	123
Vologda Oblast	139	129	150	157
Arkhangelsk Oblast	128	122	135	138
St-Petersburg	126	117	125	127
Republic of Karelia	125	120	153	147
Kaliningrad Oblast	124	118	132	133
Novgorod Oblast	119	115	179	184
Murmansk Oblast	117	114	112	115
Pskov Oblast	110	105	195	194
Leningrad Oblast	90	87	147	148
Central Federal District	114	108	139	140
Kostroma Oblast	128	122	160	166
Moscow Oblast	120	112	144	144
Kursk Oblast	119	116	166	168
Yaroslavl Oblast	119	112	159	158
Kaluga Oblast	118	109	157	154
Belgorod Oblast	117	110	140	140
Tver Oblast	116	110	182	187
Lipetsk Oblast	116	107	153	152
Vladimir Oblast	115	109	166	171
Bryansk Oblast	114	109	161	161
City of Moscow	113	107	99	97
Oryol Oblast	111	105	162	163
Ivanovo Oblast	110	104	168	169
Voronezh Oblast	109	102	156	159
Ryazan Oblast	108	103	163	165
Smolensk Oblast	105	104	167	168
Tula Oblast	101	94	177	177
