Game	March	Opponent	Score	Record
64	3	California Golden Seals	8 - 1	40-14-10
65	6	@ Detroit Red Wings	2 - 2	40-14-11
66	7	Los Angeles Kings	4 - 2	41-14-11
67	10	@ Chicago Black Hawks	4 - 2	42-14-11
68	12	Philadelphia Flyers	7 - 2	43-14-11
69	14	Toronto Maple Leafs	1 - 0	44-14-11
70	18	@ Philadelphia Flyers	2 - 1	44-15-11
71	20	@ Toronto Maple Leafs	3 - 1	44-16-11
72	21	Montreal Canadiens	6 - 2	44-17-11
73	23	Buffalo Sabres	7 - 2	45-17-11
74	27	@ Boston Bruins	6 - 3	46-17-11
75	28	Boston Bruins	2 - 1	47-17-11
76	31	Chicago Black Hawks	4 - 2	48-17-11
