Place	Player	Country	Score	To par
1	Sergio García	Spain	65-71-68=204	–9
2	Steve Stricker	United States	71-72-64=207	–6
T3	Paul Broadhurst	England	71-71-68=210	–3
T3	K.J. Choi	South Korea	69-69-72=210	–3
T3	Hunter Mahan	United States	69-73-68=210	–3
T3	Chris DiMarco	United States	74-70-66=210	–3
T3	Ernie Els	South Africa	72-70-68=210	–3
T3	Pádraig Harrington	Ireland	69-73-68=210	–3
T3	Paul McGinley	Ireland	67-75-68=210	–3
T10	Jim Furyk	United States	70-70-71=211	–2
T10	Miguel Ángel Jiménez	Spain	69-70-72=211	–2
T10	Andrés Romero	Argentina	71-70-70=211	–2
T10	Vijay Singh	Fiji	72-71-68=211	–2
T10	Mike Weir	Canada	71-68-72=211	–2
