Game	Date	Opponent	Score	Decision	Location/Attendance	Record
10	1	Atlanta Thrashers	1-6	Brodeur	Prudential Center - 14,958	6-2-2
11	3	Buffalo Sabres	2-0	Weekes	Prudential Center - 10,567	6-3-2
12	5	Tampa Bay Lightning	3-4 (SO)	Weekes	Prudential Center - 11,619	7-3-2
13	8	Detroit Red Wings	1-3	Weekes	Joe Louis Arena - 20,066	7-4-2
14	9	Edmonton Oilers	2-1	Clemmensen	Prudential Center - 14,193	7-5-2
15	12	New York Rangers	5-2	Weekes	Prudential Center - 17,625	7-6-2
16	14	Washington Capitals	1-3	Clemmensen	Verizon Center - 18,277	7-7-2
17	15	Washington Capitals	5-6	Clemmensen	Prudential Center - 17,051	8-7-2
18	20	Florida Panthers	1-3	Clemmensen	Prudential Center - 14,291	9-7-2
19	21	New York Islanders	2-5	Weekes	Prudential Center - 17,138	10-7-2
20	23	Tampa Bay Lightning	7-3	Clemmensen	St. Pete Times Forum - 14,222	11-7-2
21	26	Florida Panthers	3-2 (SO)	Clemmensen	BankAtlantic Center - 14,932	12-7-2
22	29	Pittsburgh Penguins	1-4	Clemmensen	Mellon Arena - 17,132	12-8-2
