Heat	Lane	Name	Nationality	Time
9	4	Pieter van den Hoogenband	Netherlands	48.64
10	5	Michael Klim	Australia	49.09
10	6	Lars Frölander	Sweden	49.16
10	4	Alexander Popov	Russia	49.29
9	5	Gary Hall, Jr.	United States	49.32
8	2	Denis Pimankov	Russia	49.45
8	5	Chris Fydler	Australia	49.45
9	7	Salim Iles	Algeria	49.70
8	4	Neil Walker	United States	49.73
10	2	Lorenzo Vismara	Italy	49.74
10	1	Roland Mark Schoeman	South Africa	49.74
10	8	José Meolans	Argentina	49.75
9	3	Gustavo Borges	Brazil	49.76
8	7	Christian Tröger	Germany	49.76
9	6	Attila Zubor	Hungary	49.79
7	8	Duje Draganja	Croatia	49.83
10	7	Bartosz Kizierowski	Poland	49.84
8	6	Johan Kenkhuis	Netherlands	49.93
8	1	Stefan Nystrand	Sweden	50.19
9	2	Karel Novy	Switzerland	50.19
6	3	Peter Mankoč	Slovenia	50.28
8	3	Romain Barnier	France	50.32
7	2	Rolandas Gimbutis	Lithuania	50.46
6	1	Kim Min-Suk	South Korea	50.49
7	4	Torsten Spanneberg	Germany	50.56
9	8	Yannick Lupien	Canada	50.62
8	8	Pavlo Khnykin	Ukraine	50.63
7	3	Javier Botello	Spain	50.87
7	5	Craig Hutchison	Canada	50.90
9	1	Aleh Rukhlevich	Belarus	50.96
7	1	Marcos Hernández	Cuba	50.96
7	7	Thierry Wouters	Belgium	51.07
7	6	Jere Hård	Finland	51.11
6	5	Spyridon Bitsakis	Greece	51.28
6	8	Sergey Ashihmin	Kyrgyzstan	51.28
4	2	Carl Probert	Fiji	51.34
6	7	Richard Sam Bera	Indonesia	51.52
6	6	Yoav Bruck	Israel	51.62
5	1	Nikola Kalabić	Yugoslavia	51.82
4	5	Christopher Murray	Bahamas	51.93
5	2	Allen Ong	Malaysia	51.93
5	7	George Gleason	Virgin Islands	52.00
4	7	Indrek Sei	Estonia	52.09
4	6	Tamer Hamed	Egypt	52.14
5	3	Květoslav Svoboda	Czech Republic	52.18
3	4	Paul Kutscher	Uruguay	52.22
4	8	Fernando Jácome	Colombia	52.24
4	4	Mark Chay	Singapore	52.24
6	2	Željko Panić	Bosnia and Herzegovina	52.40
6	4	Francisco Sánchez	Venezuela	52.43
3	2	Howard Hinds	Netherlands Antilles	52.52
4	3	Glen Walshaw	Zimbabwe	52.53
5	6	Igor Sitnikov	Kazakhstan	52.57
3	3	Aleksandr Agafonov	Uzbekistan	52.58
5	4	Wu Nien-Pin	Chinese Taipei	52.72
5	5	Felipe Delgado	Ecuador	52.78
5	8	Chrysanthos Papachrysanthou	Cyprus	52.82
3	5	Ríkardur Ríkardsson	Iceland	52.85
3	6	George Bovell	Trinidad and Tobago	52.90
3	1	Gentle Offoin	Nigeria	52.91
3	7	Kenny Roberts	Seychelles	53.40
4	1	Rodrigo Olivares	Chile	53.50
2	3	Gregory Arkhurst	Ivory Coast	53.55
3	8	Alejandro Castellanos	Honduras	54.06
2	4	Hamid Reza Mobarez	Iran	54.12
2	5	Christophe Lim Wen Ying	Mauritius	54.33
2	6	Ganaagiin Galbadrakh	Mongolia	58.79
2	2	Ragi Edde	Lebanon	59.26
2	7	Marien Michel Ngouabi	Congo	1:00.39
2	1	Dawood Youssef Mohamed Jassim	Bahrain	1:02.45
1	5	Eric Moussambani	Equatorial Guinea	1:52.72
1	3	Karim Bare	Niger	DSQ
1	4	Farkhod Oripov	Tajikistan	DSQ
10	3	Fernando Scherer	Brazil	DNS
