Driver	Team	Laps	Time/Retired	Grid	Points
A. J. Allmendinger	Forsythe Racing	97	1:44:59.557	2	33
Bruno Junqueira	Newman/Haas Racing	97	+20.588 secs	7	28
Dan Clarke	CTE Racing-HVM	97	+50.261 secs	13	26
Will Power	Team Australia	97	+55.915 secs	11	23
Nelson Philippe	CTE Racing-HVM	97	+1:14.187	10	21
Paul Tracy	Forsythe Racing	96	Contact	4	16 *
Sébastien Bourdais	Newman/Haas Racing	96	Contact	1	20
Justin Wilson	RuSPORT	96	+ 1 Lap	3	16
Katherine Legge	PKV Racing	96	+ 1 Lap	15	13
Charles Zwolsman	Mi-Jack Conquest Racing	95	+ 2 Laps	12	11
Jan Heylen	Dale Coyne Racing	95	+ 2 Laps	14	10
Nicky Pastorelli	Rocketsports Racing	27	Brakes	16	9
Mario Domínguez	Dale Coyne Racing	21	Suspension	9	8
Andrew Ranger	Mi-Jack Conquest Racing	18	Gearbox	6	7
Oriol Servià	PKV Racing	14	Engine	8	6
Alex Tagliani	Team Australia	0	Contact	5	5
