Week	Opponent	Result	Stadium	Record	Attendance
1	Cleveland Browns	W 34–17	Schaefer Stadium	1–0	49222
2	Atlanta Falcons	L 21–37	Schaefer Stadium	1–1	48321
3	at Seattle Seahawks	W 37–31	Kingdome	2–1	61035
4	Denver Broncos	W 23–14	Schaefer Stadium	3–1	59602
5	at New York Jets	W 21–11	Shea Stadium	4–1	53603
6	Miami Dolphins	W 34–0	Schaefer Stadium	5–1	60377
7	at Baltimore Colts	W 37–21	Memorial Stadium	6–1	53924
8	at Buffalo Bills	L 13–31	Rich Stadium	6–2	75092
9	New York Jets	W 34–21	Schaefer Stadium	7–2	60834
10	at Houston Oilers	L 34–38	Astrodome	7–3	51524
11	Los Angeles Rams	L 14–17	Schaefer Stadium	7–4	60609
12	Baltimore Colts	W 47–21	Schaefer Stadium	8–4	60994
13	at San Francisco 49ers	L 17–21	Candlestick Park	8–5	45254
14	at Miami Dolphins	L 13–16	Miami Orange Bowl	8–6	63292
15	Buffalo Bills	W 24–2	Schaefer Stadium	9–6	58324
