Edition	Round	Date	Against	Surface	Opponent	Result
2003 Davis Cup Europe/Africa Group II	QF	11–13 July 2003	South Africa	Hard	Wesley Moodie	6–2, 1–6, 2–6
2004 Davis Cup Europe/Africa Group II	1R	9–11 April 2004	Tunisia	Hard	Malek Jaziri	4–6, 3–6
2004 Davis Cup Europe/Africa Group II	QF	16–18 July 2004	Serbia and Montenegro	Clay	Dušan Vemić	3–6, 3–6
2005 Davis Cup Europe/Africa Group II	1R	4–6 March 2005	Estonia	Carpet	Andrei Luzgin	7–5, 4–6, 3–6
2005 Davis Cup Europe/Africa Group II	QF	15–17 July 2005	Algeria	Clay	Slimane Saoudi	0–6, 6–3, 6–7 (3–7) , 4–6
2005 Davis Cup Europe/Africa Group II	QF	15–17 July 2005	Algeria	Clay	Lamine Ouahab	6–4, 6–2, 6–2
2005 Davis Cup Europe/Africa Group II	SF	23–25 September 2005	Slovenia	Clay	Marko Tkalec	7–5, 6–4, 6–2
2005 Davis Cup Europe/Africa Group II	SF	23–25 September 2005	Slovenia	Clay	Grega Žemlja	6–7 (3–7) , 6–7 (2–7) , 1–6
2006 Davis Cup Europe/Africa Group I	1R	10–12 February 2006	Luxembourg	Hard	Laurent Bram	7–5, 6–4, 6–2
2006 Davis Cup Europe/Africa Group I	1R	10–12 February 2006	Luxembourg	Hard	Gilles Müller	6–7 (3–7) , 6–7 (2–7) , 1–6
2007 Davis Cup Europe/Africa Group I	1R	9–11 February 2007	Georgia	Carpet	Irakli Labadze	5–7, 3–6, 6–7 (3–7)
2007 Davis Cup Europe/Africa Group I	GI PO	21–23 September 2007	Netherlands	Hard	Jesse Huta Galung	3–6, 6–3, 2–6
2008 Davis Cup Europe/Africa Group II	1R	11–13 April 2008	Tunisia	Clay	Walid Jallali	6–1, 6–1, 7–5
2008 Davis Cup Europe/Africa Group II	QF	18–20 July 2008	Cyprus	Clay	Photos Kallias	6–4, 6–4, 7–5
2008 Davis Cup Europe/Africa Group II	SF	19–21 September 2008	Ukraine	Hard	Sergei Bubka	3–6, 6–3, 6–7 (4–7) , 4–6
2009 Davis Cup Europe/Africa Group II	1R	6–8 March 2009	Cyprus	Hard	Marcos Baghdatis	3–6, 5–7, 4–6
2009 Davis Cup Europe/Africa Group II	GII PO	10–12 July 2009	Algeria	Clay	Valentin Rahmine	6–0, 6–0, 6–0
2010 Davis Cup Europe/Africa Group II	1R	5–7 March 2010	Denmark	Clay	Frederik Nielsen	4–6, 6–4, 6–0, 6–1
2010 Davis Cup Europe/Africa Group II	QF	9–11 July 2010	Cyprus	Clay	Rares Cuzdriorean	6–3, 6–0, 6–3
2010 Davis Cup Europe/Africa Group II	QF	9–11 July 2010	Cyprus	Clay	Sergis Kyratzis	6–2, 6–0
2010 Davis Cup Europe/Africa Group II	SF	17–19 September 2010	Bosnia and Herzegovina	Clay	Aldin Setkic	4–6, 3–6, 6–1, 1–6
2011 Davis Cup Europe/Africa Group I	1R	4–6 March 2011	Slovakia	Clay	Martin Kližan	6–4, 6–4, 1–6, 2–6, 6–4
2011 Davis Cup Europe/Africa Group I	1R	4–6 March 2011	Slovakia	Clay	Lukáš Lacko	6–4, 3–6, 6–4, 6–0
2011 Davis Cup Europe/Africa Group I	2R	8–10 July 2011	Switzerland	Carpet	Roger Federer	7–5, 3–6, 4–6, 2–6
2012 Davis Cup Europe/Africa Group I	2R	6–8 April 2012	Israel	Hard	Amir Weintraub	7–5, 3–6, 1–6, 5–7
2013 Davis Cup Europe/Africa Group II	1R	1–3 February 2013	Benin	Clay	Alexis Klegou	2-6, 6-2, 6-0
2013 Davis Cup Europe/Africa Group II	2R	5–7 April 2013	Lithuania	Clay	Lukas Mugevicius	6-2, 6-0
2013 Davis Cup Europe/Africa Group II	3R	13–15 February 2013	Moldova	Hard	Maxim Dubarenco	7-5, 6-1, 6-3
