Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 24	3-2	25-27	29-31	26-24	25-22	16-14	121 - 118
May 24	1-3	25-16	21-25	13-25	15-25	NA	74 - 91
May 25	0-3	15-25	17-25	22-25	NA	NA	54 - 75
May 25	3-2	18-25	27-25	24-26	25-23	15-11	109 - 110
May 30	3-1	18-25	25-19	25-20	25-18	NA	93 - 82
May 31	0-3	17-25	21-25	18-25	NA	NA	56 - 75
May 31	3-1	25-19	24-26	25-15	25-20	NA	99 - 80
Jun 1	1-3	24-26	25-20	19-25	21-25	NA	89 - 96
Jun 6	2-3	18-25	23-25	26-24	25-23	09-15	101 - 112
Jun 6	0-3	20-25	22-25	20-25	NA	NA	62 - 75
Jun 7	3-0	25-18	25-13	25-23	NA	NA	75 - 54
Jun 8	1-3	24-26	25-20	21-25	23-25	NA	93 - 96
Jun 13	3-0	25-23	25-17	27-25	NA	NA	77 - 65
Jun 13	3-1	25-22	33-31	15-25	25-14	NA	98 - 92
Jun 14	2-3	22-25	25-18	22-25	25-17	11-15	105 - 100
Jun 14	3-1	25-14	22-25	25-13	25-21	NA	97 - 73
Jun 20	3-2	23-25	26-24	25-23	23-25	15-13	112 - 110
Jun 20	0-3	19-25	20-25	20-25	NA	NA	59 - 75
Jun 21	3-1	25-22	31-33	25-21	25-17	NA	106 - 93
Jun 22	1-3	25-19	22-25	22-25	16-25	NA	85 - 94
Jun 27	3-0	25-15	25-20	25-14	NA	NA	75 - 49
Jun 28	3-1	22-25	25-22	26-24	26-24	NA	99 - 95
Jun 28	0-3	23-25	19-25	29-31	NA	NA	71 - 81
Jun 29	2-3	22-25	25-20	20-25	25-22	13-15	105 - 107
