Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment	Position in table
Huracán	Claudio Ubeda	Resigned	Sep. 14, 2008	Héctor Martínez (interim)	Sep. 15, 2008	20th (A)
Estudiantes (LP)	Roberto Sensini	Resigned	Sep. 17, 2008	Leonardo Astrada	Sep. 20, 2008	18th (A)
Gimnasia y Esgrima (LP)	Guillermo Sanguinetti	Resigned	Sep. 29, 2008	Leonardo Madelón	Oct. 2, 2008	12th (A)
Independiente	Claudio Borghi	Resigned	Oct. 5, 2008	Miguel Santoro	Oct. 6, 2008	15th (A)
Rosario Central	Pablo Sánchez	Sacked	Oct. 6, 2008	Gustavo Alfaro	Oct. 10, 2008	19th (A)
Godoy Cruz	Daniel Oldrá	Resigned	Oct. 28, 2008	Diego Cocca	Oct. 29, 2008	18th (A)
Huracán	Héctor Martínez (interim)	End of contract	Nov. 3, 2008	Ángel Cappa	Nov. 4, 2008	15th (A)
River Plate	Diego Simeone	Resigned	Nov. 9, 2008	Gabriel Rodríguez (interim)	Nov. 10, 2008	20th (A)
Vélez Sársfield	Hugo Tocalli	Resigned	Dec. 3, 2008	Pedro Larraquy (interim)	Dec. 4, 2008	6th (A)
Argentinos Juniors	Nestor Gorosito	Resigned	Dec. 14, 2008	Claudio Vivas	Dec. 27, 2008	11th (A)
Vélez Sársfield	Pedro Larraquy (interim)	End of contract	Dec. 15, 2008	Ricardo Gareca	Dec. 16, 2008	9th (A)
River Plate	Gabriel Rodríguez (interim)	End of contract	Dec. 15, 2008	Nestor Gorosito	Dec. 23, 2008	20th (A)
Racing	Juan Manuel Llop	Sacked	Feb. 21, 2009	Ricardo Caruso Lombardi	Feb. 24, 2009	20th (C)
Rosario Central	Gustavo Alfaro	Sacked	Feb. 28, 2009	Reinaldo Merlo	Mar. 2, 2009	18th (C)
Gimnasia y Esgrima (J)	Omar Labruna	Resigned	Mar. 10, 2009	Héctor Arzubialde	Mar. 11, 2009	19th (C)
Estudiantes (LP)	Leonardo Astrada	Resigned	Mar. 11, 2009	Alejandro Sabella	Mar. 15, 2009	18th (C)
Independiente	Miguel Santoro	Resigned	Mar. 21, 2009	Américo Gallego	Mar. 27, 2009	8th (C)
Banfield	Jorge Burruchaga	Resigned	Mar. 22, 2009	Julio Falcioni	Mar. 23, 2009	9th (C)
San Lorenzo	Miguel Ángel Russo	Resigned	Apr. 9, 2009	Diego Simeone	Apr. 16, 2009	10th (C)
Rosario Central	Reinaldo Merlo	Resigned	Apr. 14, 2009	Miguel Ángel Russo	Apr. 16, 2009	9th (C)
Arsenal	Daniel Garnero	Sacked	Apr. 25, 2009	José Rizzo (interim)	Apr. 26, 2009	16th (C)
Arsenal	José Rizzo (interim)	End of contract	May 4, 2009	Jorge Burruchaga	May 5, 2009	18th (C)
Argentinos Juniors	Claudio Vivas	Resigned	May 23, 2009	Claudio Borghi	Jun. 2, 2009	20th (C)
Boca Juniors	Carlos Ischia	Resigned	Jun. 16, 2009	Abel Alvez (interim)	Jun. 17, 2009	15th (C)
