Pick	Round	Player	Position	School
4	Round 1	Keith McCants	Linebacker	Alabama
30	Round 2	Reggie Cobb	Running Back	Tennessee
87	Round 4	Jess Anderson	Tight End	Mississippi State
108	Round 4	Tony Mayberry	Center	Wake Forest
114	Round 5	Ian Beckles	Guard	Indiana
141	Round 6	Derrick Douglas	Running Back	Louisiana Tech
171	Round 7	Donnie Gardner	Defensive End	Kentucky
224	Round 9	Terry Cook	Defensive End	Fresno State
254	Round 10	Mike Busch	Tight End	Iowa State
281	Round 11	Terry Anthony	Wide Receiver	Florida State
307	Round 12	Todd Hammel	Quarterback	Stephen F. Austin
