Stage	Winner	General classification	Points classification	Mountains classification	Intergiro classification	Trofeo Fast Team	Trofeo Super Team
P	Brett Lancaster	Brett Lancaster	not awarded	not awarded	not awarded	Fassa Bortolo	not awarded
1	Paolo Bettini	Paolo Bettini	Paolo Bettini	Thorwald Veneberg	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
2	Robbie McEwen	Robbie McEwen	Robbie McEwen	Thorwald Veneberg	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
3	Danilo di Luca	Paolo Bettini	Robbie McEwen	Dario Cioni	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
4	Luca Mazzanti	Paolo Bettini	Paolo Bettini	Dario Cioni	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
5	Danilo di Luca	Danilo di Luca	Danilo di Luca	José Rujano	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
6	Robbie McEwen	Paolo Bettini	Robbie McEwen	José Rujano	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
7	Koldo Gil	Danilo di Luca	Danilo di Luca	Koldo Gil	Sven Krauß	Lampre-Caffita	Liquigas-Bianchi
8	David Zabriskie	Danilo di Luca	Danilo di Luca	Koldo Gil	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
9	Alessandro Petacchi	Danilo di Luca	Danilo di Luca	Koldo Gil	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
10	Robbie McEwen	Danilo di Luca	Robbie McEwen	Koldo Gil	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
11	Paolo Savoldelli	Ivan Basso	Robbie McEwen	José Rujano	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
12	Alessandro Petacchi	Ivan Basso	Robbie McEwen	José Rujano	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
13	Iván Parra	Paolo Savoldelli	Paolo Bettini	José Rujano	Sven Krauß	Liquigas-Bianchi	Davitamon-Lotto
14	Iván Parra	Paolo Savoldelli	Danilo di Luca	José Rujano	Sven Krauß	Liquigas-Bianchi	Liquigas-Bianchi
15	Alessandro Petacchi	Paolo Savoldelli	Paolo Bettini	José Rujano	Paolo Bettini	Liquigas-Bianchi	Davitamon-Lotto
16	Christophe Le Mével	Paolo Savoldelli	Paolo Bettini	José Rujano	Paolo Bettini	Liquigas-Bianchi	Davitamon-Lotto
17	Ivan Basso	Paolo Savoldelli	Paolo Bettini	José Rujano	Stefano Zanini	Liquigas-Bianchi	Davitamon-Lotto
18	Ivan Basso	Paolo Savoldelli	Paolo Bettini	José Rujano	Stefano Zanini	Liquigas-Bianchi	Davitamon-Lotto
19	José Rujano	Paolo Savoldelli	Paolo Bettini	José Rujano	Stefano Zanini	Liquigas-Bianchi	Davitamon-Lotto
20	Alessandro Petacchi	Paolo Savoldelli	Paolo Bettini	José Rujano	Stefano Zanini	Liquigas-Bianchi	Davitamon-Lotto
Final	Final	Paolo Savoldelli	Paolo Bettini	José Rujano	Stefano Zanini	Liquigas-Bianchi	Davitamon-Lotto
