Player	Nationality	Position	From	School/Country
, Ollie Mack	United States	Guard	1979	East Carolina
, Mark Madsen	United States	Forward	2000	Stanford
Karl Malone Category:Articles with hCards *	United States	Forward	2003	Louisiana Tech
, Nick Mantis	United States	Guard	1959	Northwestern
Slater Martin *	United States	Guard	1949	Texas
Matthews, Wes Wes Matthews	United States	Guard	1986	Wisconsin
Didier Ilunga "D.J." Mbenga	Democratic Republic of the Congo Belgium	Center	2008	DR Congo / Belgium
Bob McAdoo *	United States	Forward	1981	North Carolina
, Mel McCants	United States	Forward	1989	Purdue
, Willie McCarter	United States	Guard	1969	Drake
, George McCloud	United States	Guard/Forward	1997	Florida State
, Jelani McCoy	United States	Forward/Center	2001	UCLA
, Jim McDaniels	United States	Forward/Center	1975	Western Kentucky
, Mike McGee	United States	Guard/Forward	1981	Michigan
, Bill McGill	United States	Forward/Center	1964	Utah
, Kevin McKenna	United States	Guard/Forward	1981	Creighton
McKie, Aaron Aaron McKie	United States	Guard	2005	Temple
, Jim McMillian	United States	Forward	1970	Columbia
, Mark McNamara	United States	Forward/Center	1988	California
, Bob McNeill	United States	Guard	1961	Saint Joseph's
, Josh McRoberts	United States	Forward/Center	2011	Duke
, Slava Medvedenko	Ukraine	Forward	2000	Ukraine
, Jodie Meeks	United States	Guard	2012	Kentucky
, Cliff Meely	United States	Forward/Center	1975	Colorado
, Chuck Mencel	United States	Guard	1955	Minnesota
Mihm, Chris Chris Mihm	United States	Center	2004	Texas
George Mikan *	United States	Center	1947	DePaul
Vern Mikkelsen *	United States	Forward	1949	Hamline
, Anthony "Pig" Miller	United States	Forward	1994	Michigan State
, Steve Mix	United States	Forward	1982	Toledo
, Darius Morris	United States	Guard	2011	Michigan
, Adam Morrison	United States	Forward	2009	Gonzaga
, Erwin Mueller	United States	Forward/Center	1968	San Francisco
, Allen Murphy	United States	Guard	1976	Louisville
, Troy Murphy	United States	Forward/Center	2011	Notre Dame
, Tracy Murray	United States	Forward	2002	UCLA
