Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	2007–2008 Team	NHL rights, if any
G	34	Joe Palmer	185	93	February 19, 1988	Yorkville, New York	Ohio State Buckeyes	Chicago Blackhawks
G	30	Jeremy Smith	183	86	April 13, 1989	Dearborn, Michigan	Plymouth Whalers ( OHL )	Nashville Predators
D	24	Jonathon Blum	185	84	January 30, 1989	Santa Margarita, California	Vancouver Giants ( WHL )	Nashville Predators
D	28	Ian Cole	185	99	February, 21 1989	Ann Arbor, Michigan	University of Notre Dame	St. Louis Blues
D	27	Cade Fairchild	178	84	January, 15 1989	Duluth, Minnesota	University of Minnesota	St. Louis Blues
D	4	Jamie McBain	188	89	February 25, 1988	Edina, Minnesota	University of Wisconsin	Carolina Hurricanes
D	23	Kevin Montgomery	185	84	April 4, 1988	Rochester, New York	London Knights ( OHL )	Colorado Avalanche
D	20	Robert Sanguinetti	191	86	February 29, 1988	Trenton, New Jersey	Brampton Battalion ( OHL )	New York Rangers
D	7	Brian Strait	185	91	January 4, 1988	Waltham, Massachusetts	Boston University	Pittsburgh Penguins
D	24	Chris Summers	188	84	February 5, 1988	Ann Arbor, Michigan	University of Michigan	Phoenix Coyotes
F	19	Mike Carman	183	84	April 14, 1988	Apple Valley, Minnesota	University of Minnesota	Colorado Avalanche
F	22	Ryan Flynn	191	98	March 22, 1988	St. Paul, Minnesota	University of Minnesota	Nashville Predators
F	5	Blake Geoffrion	188	89	February 3, 1988	Plantation, Florida	University of Wisconsin	Nashville Predators
F	9	Kyle Okposo	185	91	April 16, 1988	St. Paul, Minnesota	University of Minnesota	New York Islanders
F	17	Max Pacioretty	185	92	November 20, 1988	New Canaan, Connecticut	University of Michigan	Montreal Canadiens
F	10	Rhett Rakhshani	178	82	March 6, 1988	Orange, California	University of Denver	New York Islanders
F	15	Tyler Ruegsegger	180	89	January 19, 1988	Denver, Colorado	University of Denver	Toronto Maple Leafs
F	11	Matt Rust	175	87	March 23, 1989	Bloomfield Hills, Michigan	University of Michigan	Florida Panthers
F	29	Jordan Schroeder	173	79	September 29, 1990	Prior Lake, Minnesota	USNTDP ( NAHL )	2009 Draft Eligible
F	21	Bill Sweatt	183	82	September 28, 1988	Elburn, Illinois	Colorado College	Chicago Blackhawks
F	12	James van Riemsdyk	191	96	May 4, 1989	Middletown, New Jersey	University of New Hampshire	Philadelphia Flyers
F	33	Colin Wilson	185	98	October 20, 1989	Greenwich, Connecticut	Boston University	2008 Draft Eligible
