Team	City	Stadium	Manager	Past season
Aboomoslem	Mashhad	Samen	Parviz Mazloomi	6th
Bargh	Shiraz	Hafezieh	Mahmoud Yavari	12th
Esteghlal	Tehran	Azadi	Firouz Karimi	4th
Esteghlal	Ahvaz	Takhti Ahvaz	Majid Jalali	2nd
Malavan	Anzali	Takhti Anzali	Mohammad Ahmadzadeh	14th
Mes	Kerman	Shahid Bahonar	Amir Ghalenoei	9th
Pas	Hamedan	Ghods	Vinko Begovic	N/A
Paykan	Tehran	Iran Khodro	Ali Asghar Modir Roosta	7th
Pegah	Rasht	Sardar Jangal	Nader Dastneshan	Qualifier
Persepolis	Tehran	Azadi	Afshin Ghotbi	3rd
Rah Ahan	Tehran	Rah Ahan	Davoud Mahabadi	16th
Saba Battery	Tehran	Shahid Derakhshan	Yahya Golmohammadi	13th
Saipa	Karaj	Enghelab Karaj	Ali Daei	Champion
Sanat Naft	Abadan	Takhti Abadan	Ahmad Tousi	Qualifier
Sepahan	Esfahan	Naghsh Jahan	Jorvan Vieira	5th
Sepasi	Shiraz	Hafezieh	Gholam Peyrovani	10th
Shirin Faraz	Kermanshah	Azadi Kermanshah	Shahram Mehrpeyma	Qualifier
Zob Ahan	Esfahan	Foolad Shahr	Bijan Zolfagharnasab	8th
