Rank	Name	Country	Wins	Years
1	Richard Virenque	France	7	1994 , 1995 , 1996 , 1997 , 1999 , 2003 , 2004
2	Federico Bahamontes	Spain	6	1954 , 1958 , 1959 , 1962 , 1963 , 1964
2	Lucien Van Impe	Belgium	6	1971 , 1972 , 1975 , 1977 , 1981 , 1983
4	Julio Jiménez	Spain	3	1965 , 1966 , 1967
5	Felicien Vervaecke	Belgium	2	1935 , 1937
5	Gino Bartali	Italy	2	1938 , 1948
5	Fausto Coppi	Italy	2	1949 , 1952
5	Charly Gaul	Luxembourg	2	1955 , 1956
5	Imerio Massignan	Italy	2	1960 , 1961
5	Eddy Merckx	Belgium	2	1969 , 1970
5	Luis Herrera	Colombia	2	1985 , 1987
5	Claudio Chiappucci	Italy	2	1991 , 1992
5	Laurent Jalabert	France	2	2001 , 2002
5	Michael Rasmussen	Denmark	2	2005 , 2006
