Outcome	Edition	Opponent Team	Surface	Opponent	Score
Winner	2008 Europe/Africa Group IIIA	Mauritius	Clay	Astrid Tixier	6–1, 6–2
Winner	2008 Europe/Africa Group IIIA	Zimbabwe	Clay	Denise Atzinger	6–0, 6–0
Winner	2008 Europe/Africa Group IIIA	Latvia	Clay	Trīna Šlapeka	6–1, 6–3
Winner	2008 Europe/Africa Group IIIA	Iceland	Clay	Rebekka Pétursdóttir	6–0, 6–0
Winner	2009 Europe/Africa Group IIIB	Liechtenstein	Hard	Kathinka von Deichmann	6–1, 6–4
Winner	2009 Europe/Africa Group IIIB	Iceland	Hard	Sandra Kristjánsdóttir	6–0, 6–1
Loser	2009 Europe/Africa Group IIIB	Armenia	Hard	Anna Movsisyan	6–4, 6–1
Winner	2009 Europe/Africa Group IIIB	Moldova	Hard	Olga Terteac	6–1, 6–2
Winner	2009 Europe/Africa Group IIIB	Egypt	Hard	May El Wardany	6–0, 6–0
Loser	2010 Europe/Africa Group IIB	Armenia	Clay	Ani Amiraghyan	4–6, 6–3, 6–2
Loser	2010 Europe/Africa Group IIB	Finland	Clay	Emma Laine	6–1, 6–2
Loser	2010 Europe/Africa Group IIB	Georgia	Clay	Anna Tatishvili	6–2, 6–3
Loser	2010 Europe/Africa Group II Playoff	Liechtenstein	Clay	Stephanie Vogt	6–4, 7–5
Winner	2011 Europe/Africa Group IIIB	Ireland	Clay	Julia Moriarty	6–4, 6–1
Winner	2011 Europe/Africa Group IIIB	Moldova	Clay	Julia Helbet	1–6, 7–5, 6–3
Winner	2011 Europe/Africa Group IIIB	Tunisia	Clay	Ons Jabeur	7–6 (7–3) , 6–4
