Year	Class	Team	Points	Wins
1949	350cc	Velocette	0	0
1949	500cc	Triumph	0	0
1950	350cc	Velocette	0	0
1950	500cc	Norton	0	0
1951	250cc	Velocette	6	0
1951	350cc	Velocette	0	0
1951	500cc	BSA	0	0
1952	250cc	Moto Guzzi	4	0
1952	350cc	Velocette	0	0
1952	500cc	Norton	0	0
1953	250cc	Moto Guzzi	4	0
1953	350cc	AJS	0	0
1953	500cc	Matchless	0	0
1954	250cc	Moto Guzzi	15	1
1954	350cc	AJS	0	0
1954	500cc	AJS	0	0
1955	250cc	Moto Guzzi	6	0
1955	350cc	AJS	0	0
1955	500cc	Matchless	0	0
1956	125cc	MV Agusta	0	0
1956	250cc	Moto Guzzi	5	0
1956	350cc	Moto Guzzi	0	0
1957	125cc	MV Agusta	0	0
1957	250cc	Moto Guzzi	4	0
1957	350cc	Moto Guzzi	0	0
1957	500cc	Moto Guzzi	0	0
1958	125cc	Mondial	1	0
1958	250cc	Mondial	2	0
1958	350cc	AJS	0	0
1958	500cc	AJS	0	0
1959	125cc	NSU	1	0
1959	125cc	Ducati	1	0
1959	350cc	AJS	0	0
1959	500cc	AJS	0	0
1961	125cc	Ducati	0	0
1961	250cc	Moto Guzzi	0	0
1961	350cc	Moto Guzzi	0	0
1961	500cc	Matchless	0	0
1962	250cc	Moto Guzzi	19	1
1962	350cc	Moto Guzzi	1	0
1962	500cc	Moto Guzzi	0	0
