Year	Entrant	Chassis	Engine	Points
1987	Osella Squadra Corse	Osella FA1G	Alfa Romeo 1.5L V8 t/c	0
1988	Coloni SpA	Coloni FC188	Cosworth DFZ 3.5L V8	0
1988	Coloni SpA	Coloni FC188B	Cosworth DFZ 3.5L V8	0
1989	FIRST Racing	First F189	Judd EV 3.5L V8	1
1989	Automobiles Gonfaronnaises Sportives	AGS JH23B	Cosworth DFR 3.5L V8	1
1989	Automobiles Gonfaronnaises Sportives	AGS JH24	Cosworth DFR 3.5L V8	1
1990	Automobiles Gonfaronnaises Sportives	AGS JH24	Cosworth DFR 3.5L V8	0
1990	Automobiles Gonfaronnaises Sportives	AGS JH25	Cosworth DFR 3.5L V8	0
1991	Automobiles Gonfaronnaises Sportives	AGS JH25	Cosworth DFR 3.5L V8	0
1991	Automobiles Gonfaronnaises Sportives	AGS JH25B	Cosworth DFR 3.5L V8	0
1991	Automobiles Gonfaronnaises Sportives	AGS JH27	Cosworth DFR 3.5L V8	0
1991	Fondmetal F1 SpA	Fomet F1	Cosworth DFR 3.5L V8	0
1992	Fondmetal F1 SpA	Fondmetal GR01	Ford HB 3.5L V8	0
1992	Fondmetal F1 SpA	Fondmetal GR02	Ford HB 3.5L V8	0
1995	Nokia Tyrrell Yamaha	Tyrrell 023	Yamaha OX10C 3.0 V10	0
