No.	Football Club	Continent	Associated Football Club	Seasons	Racing Drivers
3	A.C. Milan	Europe	A.C. Milan	2008 2009 2010	Robert Doornbos Giorgio Pantano Yelmer Buurman
4	AC Sparta Prague	Europe	AC Sparta Prague	2011	Filip Salaquarda
5	Team Luxembourg	Europe	none	2011	Frédéric Vervisch
6	Team New Zealand	Oceania	none	2011	Earl Bamber
7	Team Japan	Asia	none	2011	Duncan Tappy
8 1 (in 2011)	R.S.C. Anderlecht	Europe	R.S.C. Anderlecht	2008 2009 2010 2011	Craig Dolby Yelmer Buurman Davide Rigon Neel Jani
8	Team Netherlands	Europe	none	2011	Robert Doornbos
10	FC Basel 1893	Europe	FC Basel	2008 2009 2010	Max Wissel Max Wissel Max Wissel
12 24 (in 2010)	Beijing Guoan	Asia	Beijing Guoan F.C.	2008 2010	Davide Rigon John Martin
14	Team Brazil	S America	none	2011	Antônio Pizzonia
17	Rangers F.C.	Europe	Rangers F.C.	2008 2009	Ryan Dalziel , James Walker John Martin
24	FC Midtjylland	Europe	FC Midtjylland	2009	Kasper Andersen
24	Team Australia	Oceania	none	2011	John Martin
31	Team England	Europe	none	2011	Craig Dolby
