Place	Player	Country	Score	To par	Money ( $ )
1	Nick Price	Zimbabwe	70-70-68-70=278	–6	280,000
T2	John Cook	United States	71-72-67-71=281	–3	101,250
T2	Nick Faldo	England	68-70-76-67=281	–3	101,250
T2	Jim Gallagher, Jr.	United States	72-66-72-71=281	–3	101,250
T2	Gene Sauers	United States	67-69-70-75=281	–3	101,250
6	Jeff Maggert	United States	71-72-65-74=282	–2	60,000
T7	Russ Cochran	United States	69-69-76-69=283	–1	52,500
T7	Dan Forsman	United States	70-73-70-70=283	–1	52,500
T9	Brian Claar	United States	68-73-73-70=284	E	40,000
T9	Anders Forsbrand	Sweden	73-71-70-70=284	E	40,000
T9	Duffy Waldorf	United States	74-73-68-69=284	E	40,000
T12	Billy Andrade	United States	72-71-70-72=285	+1	30,167
T12	Corey Pavin	United States	71-73-70-71=285	+1	30,167
T12	Jeff Sluman	United States	73-71-72-69=285	+1	30,167
