Date	Visitor	Score	Home	Record	Attendance
September 26	Washington Redskins	41-7	San Francisco 49ers	1-0-0	32,085
October 3	San Francisco 49ers	24-24	Los Angeles Rams	1-0-1	79,208
October 10	San Francisco 49ers	23-17	Green Bay Packers	2-0-1	15,571
October 17	San Francisco 49ers	31-24	Chicago Bears	3-0-1	42,935
October 24	Detroit Lions	37-31	San Francisco 49ers	4-0-1	58,891
October 31	Chicago Bears	31-27	San Francisco 49ers	4-1-1	49,833
November 7	Los Angeles Rams	42-34	San Francisco 49ers	4-2-1	58,758
November 14	San Francisco 49ers	48-7	Detroit Lions	4-3-1	58,431
November 20	San Francisco 49ers	31-3	Pittsburgh Steelers	5-3-1	37,001
November 28	San Francisco 49ers	17-13	Baltimore Colts	5-4-1	23,875
December 5	Green Bay Packers	35-0	San Francisco 49ers	6-4-1	32,012
December 11	Baltimore Colts	10-7	San Francisco 49ers	7-4-1	25,456
