Deputy Prime Minister	Took office	Left office	Prime Minister	Term	Party
Agustín Muñoz Grandes	1962	1967	Francisco Franco	Franco's dictatorship	Military
Luis Carrero Blanco	1967	1973	Francisco Franco	Franco's dictatorship	Military
Torcuato Fernández-Miranda	1973	1974	Francisco Franco	Franco's dictatorship	Falange
Jose Garcia Hernandez	1974	1975	Francisco Franco	Franco's dictatorship	Falange
Fernando de Santiago y Díaz	1975	1976	Carlos Arias Navarro	Transitional Governments	Military
Manuel Fraga Iribarne	1975	1976	Carlos Arias Navarro	Transitional Governments	Falange
Juan Miguel Villar Mir	1976	1976	Carlos Arias Navarro	Transitional Governments	Falange
Manuel Gutiérrez Mellado	1977	1979	Adolfo Suárez González	Constituent Legislature	Military
Manuel Gutiérrez Mellado	1979	1981	Adolfo Suárez González	1st Legislature	Military
Rodolfo Martín Villa	1981	1982	Leopoldo Calvo-Sotelo Bustelo	1st Legislature	UCD
Alfonso Guerra González	1982	1986	Felipe González Márquez	2nd Legislature	PSOE
Alfonso Guerra González	1986	1989	Felipe González Márquez	3rd Legislature	PSOE
Alfonso Guerra González	1989	1991	Felipe González Márquez	4th Legislature	PSOE
Narcís Serra i Serra	1991	1993	Felipe González Márquez	4th Legislature	PSOE
Narcís Serra i Serra	1993	1996	Felipe González Márquez	5th Legislature	PSOE
Francisco Álvarez Cascos	1996	2000	José María Aznar López	6th Legislature	PP
Mariano Rajoy Brey	2000	2003	José María Aznar López	7th Legislature	PP
Rodrigo Rato Figaredo	2003	2004	José María Aznar López	7th Legislature	PP
María Teresa Fernández de la Vega	2004	2008	José Luis Rodríguez Zapatero	8th Legislature	PSOE
María Teresa Fernández de la Vega	2008	2010	José Luis Rodríguez Zapatero	9th Legislature	PSOE
Alfredo Pérez Rubalcaba	2010	2011	José Luis Rodríguez Zapatero	9th Legislature	PSOE
Elena Salgado Méndez	2011	2011	José Luis Rodríguez Zapatero	9th Legislature	PSOE
Soraya Sáenz de Santamaría Antón	2011	Incumbent	Mariano Rajoy Brey	10th Legislature	PP
