Draft	Round	Pick	Nationality	Position	College/High School/Club
1948-1 1948	1	9	United States	Unknown	California
1949-T 1949	0 T	—	United States	F / C	Hamline
1950-1 1950	1	10	United States	G	Notre Dame
1951-T 1951	0 T	—	United States	G	Minnesota
1951-2 1951	2	19	United States	F / C	Kansas State
1952-1 1952	1	9	United States	C / F	Kansas
1953-1 1953	1	7	United States	F / C	Hamline
1954-1 1954	1	9	United States	C / F	Minnesota
1954-2 1954	2	18	United States	G	Bowling Green State
1955-T 1955	0 T	—	United States	G / F	Minnesota
1955-2 1955	2	12	United States	F / G	Minnesota
1956-1 1956	1	3	United States	F / G	Dayton
1957-1 1957	1	3	United States	C / F	Southern Methodist
1957-2 1957	2	11	United States	F	Illinois
1958-1 1958	1	1	United States	F	Seattle
1959-1 1959	1	3	United States	F	Notre Dame
1959-2 1959	2	8	United States	F / C	Morehead State
1959-2 1959	2	10	United States	F / C	Dartmouth
1960-1 1960	1	2	United States	G	West Virginia
1961-1 1961	1	5	United States	C	Memphis State
1961-2 1961	2	13	United States	C	Louisville
1962-1 1962	1	6	United States	C	St. John's
1962-2 1962	2	15	United States	C	Wichita
1963-1 1963	1	7	United States	F	Jacksonville
1963-2 1963	2	13	United States	G	Tulsa
1963-2 1963	2	16	United States	G	Western Carolina
1964-T 1964	0 T	—	United States	G	UCLA
1964-2 1964	2	12	United States	F	Kentucky
1965-T 1965	0 T	—	United States	G	UCLA
1965-2 1965	2	16	United States	F	Brigham Young
1966-1 1966	1	7	United States	F	Utah
1966-1 1966	2	17	United States	C	Dayton
1967-1 1967	2	16	United States	F	Clemson
1968-1 1968	1	11	United States	F	USC
1969-1 1969	1	12	United States	G	Drake
1969-2 1969	1	15	United States	C / PF	Cincinnati
1969-3 1969	2	27	United States	G	Southern Illinois
1970-1 1970	1	13	United States	F	Columbia
1970-1 1970	2	30	United States	G	Stetson
1971-1 1971	1	13	United States	G	Ohio State
1972-1 1972	1	13	United States	F	Kentucky State
1972-2 1972	2	16	United States	G	Louisville
1972-3 1972	2	22	United States	F	Arizona State
1973-1 1973	1	5	United States	C / PF	American
1973-2 1973	2	23	United States	F	St. John's
1973-2 1973	2	31	United States	C / PF	Marquette
1973-2 1973	2	34	United States	C	Pan American
1974-1 1974	1	12	United States	SG / SF	South Carolina
1974-2 1974	2	21	United States	G / F	Pittsburgh
1975-1 1975	1	2	United States	PF / C	UCLA
1975-1 1975	1	8	United States	SF / SG	Louisville
1976-2 1976	2	21	United States	G / F	Marquette
1977-1 1977	1	6	United States	F	North Carolina State
1977-1 1977	1	15	United States	G	Maryland
1977-1 1977	1	22	United States	PG	Duquesne
1978-2 1978	2	26	United States	G	VMI
1978-2 1978	2	38	United States	SG	UNC Charlotte
1979-1 1979	1	1	United States	PG	Michigan State
1979-1 1979	1	14	United States	G	UCLA
1979-2 1979	2	25	United States	SG	East Carolina
1979-2 1979	2	39	United States	PF	Louisiana Tech
1979-2 1979	2	41	United States	PF	Fairfield
1980-2 1980	2	31	United States	F	Virginia Tech
1980-2 1980	2	37	United States	G	Indiana
1981-1 1981	1	19	United States	SG / SF	Michigan
1981-2 1981	2	39	United States	SF	Toledo
1981-2 1981	2	42	United States	C / PF	Florida State
1982-1 1982	1	1	United States	SF	North Carolina
1984-1 1984	1	23	United States	C	District of Columbia
1985-1 1985	1	23	United States	PF / C	Oregon State
1986-1 1986	1	23	United States	F	Notre Dame
1988	1	25	United States	PG	Notre Dame
1989	1	26	Yugoslavia (now Serbia )	C	KK Partizan ( Yugoslavia )
1990	1	27	United States	PF / C	Clemson
1990	2	51	United States	G	Marquette
1991	2	52	United States	SG	Oral Roberts
1992	1	15	United States	SG	Missouri
1992	2	36	United States	G	USC
1993	1	12	United States	PF	North Carolina
1993	2	37	United States	PG	Cincinnati
1994	1	10	United States	SG	Temple
1995	2	37	United States	PG	Western Carolina
1996	1	24	United States	PG	Arkansas–Little Rock
1997	2	51	United States	PG	Louisville
1997	2	54	Australia	C	Gonzaga
1998	1	26	United States	SG / SF	Minnesota
1998	2	31	United States	SF	Cincinnati
1998	2	45	United States	SG	UCLA
1999	1	23	United States	SF	Augsburg
1999	2	30	United States	SG	Villanova
2000	1	29	United States	PF / C	Stanford
2002	1	27	United States	SF	Fresno State
2003	1	24	United States	PF	Illinois
2003	2	32	United States	SF	Arizona
2004	1	27	Slovenia	G	Pallalcesto Amatori Udine ( Italy )
2004	2	56	United States	PF / C	Providence
2005	1	10	United States	C	St. Joseph HS ( New Jersey )
2005	2	37	France	PF / C	Gonzaga
2005	2	39	United States	G	Florida State
2006	1	26	United States	PG	UCLA
2006	2	51	Senegal	C	WTC Cornellà ( Spain, 2nd division )
2007	1	19	United States	PG	Georgia Tech
2007	2	40	China	PG	Beijing Olympians ( ABA )
2008	2	58	United States	SG	Kentucky
2009	1	29	United States	G	Florida State
2009	2	42	United States	G	Arkansas
2009	2	59	United States	PF / C	Texas A&M
2010	2	43	United States	F	West Virginia
2010	2	58	United States	PF / C	UTEP
2011	2	41	United States	PG	Michigan ( So. )
2011	2	46	United States	SG	College of Charleston ( Sr. )
2011	2	56	Nigeria	SF	Bakersfield Jam ( D-League )
2011	2	58	Australia	C	Gold Coast Blaze ( Australia )
2012	2	60	Canada	C	Gonzaga ( Sr. )
2013	2	48	United States	PF	Duke ( Sr. )
