Team	Stadium	Capacity	Highest	Lowest	Average
Ross County	Victoria Park	6,700	3,716	1,511	2,247
Raith Rovers	Stark's Park	10,104	2,357	1,349	1,759
Ayr United	Somerset Park	11,998	1,345	971	1,137
Airdrie United	New Broomfield	10,171	1,645	611	981
Queen's Park	Hampden Park	52,500	1,211	431	712
Peterhead	Balmoor	4,000	926	462	694
Alloa Athletic	Recreation Park	3,100	1,053	441	602
Cowdenbeath	Central Park	4,370	1,953	244	519
Brechin City	Glebe Park	3,960	669	345	489
Berwick Rangers	Shielfield Park	4,131	778	259	479
