State	Born/Died	Chief Judge	Senior status	Appointed by	Reason for termination
OH	1808–1866	—	—	Pierce Category:Articles with hCards	death
OH	1811–1879	—	—	A. Johnson Category:Articles with hCards	resignation
OH	1819–1902	—	—	Grant Category:Articles with hCards	retirement
OH	1843–1906	—	—	B. Harrison Category:Articles with hCards	death
OH	1850–1918	—	—	McKinley Category:Articles with hCards	resignation
OH	1852–1910	—	—	T. Roosevelt Category:Articles with hCards	death
OH	1858–1938	—	1928–1938	Taft Category:Articles with hCards	death
OH	1876–1936	—	—	Taft Category:Articles with hCards	resignation
OH	1857–1945	—	—	Wilson Category:Articles with hCards	reappointment
OH	1865–1928	—	—	Wilson Category:Articles with hCards	death
OH	1880–1965	1948–1959	—	Harding Category:Articles with hCards	death
OH	1872–1938	—	—	Coolidge Category:Articles with hCards	death
OH	1879–1937	—	—	Coolidge Category:Articles with hCards	death
OH	1890–1976	1959–1960	1964–1976	F. Roosevelt Category:Articles with hCards	death
OH	1886–1973	—	1949–1973	F. Roosevelt Category:Articles with hCards	death
OH	1897–1955	—	—	F. Roosevelt Category:Articles with hCards	death
OH	1890–1964	1960–1960	—	Truman Category:Articles with hCards	death
OH	1897–1973	1960–1967	1971–1973	Eisenhower Category:Articles with hCards	death
OH	1899–1997	—	—	Eisenhower Category:Articles with hCards	reappointment
OH	1899–1990	1967–1969	1970–1990	Eisenhower Category:Articles with hCards	death
OH	1922–1994	1969–1990	1994–1994	Kennedy Category:Articles with hCards	death
OH	1905–1983	—	1976–1983	Kennedy Category:Articles with hCards	death
OH	1910–1996	—	1980–1996	L. Johnson Category:Articles with hCards	death
OH	1911–2001	—	1981–2001	L. Johnson Category:Articles with hCards	death
OH	1930–present	1990–1995	—	L. Johnson Category:Articles with hCards	retirement
OH	1921–2004	—	—	Nixon Category:Articles with hCards	reappointment
OH	1920–1992	—	1985–1992	Nixon Category:Articles with hCards	death
OH	1920–2001	—	—	Nixon Category:Articles with hCards	reappointment
OH	1922–2006	—	1991–2006	Ford Category:Articles with hCards	death
OH	1931–2011	1995–1999	1999–2011	Carter Category:Articles with hCards	death
OH	1927–2010	—	1995–2010	Carter Category:Articles with hCards	death
OH	1921–2010	—	1992–1992	Reagan Category:Articles with hCards	retirement
OH	1918-2013	—	1992–2013	Reagan Category:Articles with hCards	death
OH	1925–2010	—	1996–2010	Reagan Category:Articles with hCards	death
OH	1944–present	—	—	Reagan Category:Articles with hCards	reappointment
OH	1940–present	—	—	Reagan Category:Articles with hCards	resignation
OH	1937–present	1999–2004	2004–2005	G.H.W. Bush Category:Articles with hCards	retirement
OH	1956–present	—	—	Clinton Category:Articles with hCards	reappointment
