Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Yankees	8 - 6	Stanton (0-1)	54,224	14-12
May 2	@ Orioles	6 - 2 (12)	Williams (3-1)	15,641	15-12
May 3	@ Orioles	1 - 0	Cabrera (1-2)	17,934	16-12
May 4	@ Orioles	5 - 1	Halladay (4-2)	17,645	16-13
May 6	White Sox	5 - 3	Frasor (1-2)	21,769	16-14
May 7	White Sox	10 - 7	Lilly (1-3)	23,078	16-15
May 8	White Sox	5 - 4	Chacín (4-2)	20,946	16-16
May 9	Royals	6 - 1	Hernández (1-5)	13,839	17-16
May 10	Royals	3 - 1	Greinke (0-4)	20,123	18-16
May 11	Royals	12 - 9	Burgos (1-2)	24,402	19-16
May 13	@ Indians	6 - 4	Lilly (1-4)	19,637	19-17
May 14	@ Indians	3 - 2	Frasor (1-3)	22,525	19-18
May 15	@ Indians	5 - 2	Sabathia (2-3)	23,446	20-18
May 17	@ Twins	10 - 3	Santana (5-2)	18,717	21-18
May 18	@ Twins	3 - 2	Bush (0-4)	23,929	21-19
May 19	@ Twins	4 - 0	Chacín (4-3)	22,680	21-20
May 20	Nationals	6 - 1	Vargas (0-2)	17,465	22-20
May 21	Nationals	7 - 0	Armas (1-2)	24,518	23-20
May 22	Nationals	9 - 2	Towers (5-2)	28,408	23-21
May 24	Red Sox	9 - 6	Embree (1-2)	34,280	24-21
May 25	Red Sox	6 - 1	Arroyo (4-1)	23,221	25-21
May 26	Red Sox	8 - 1	Miller (1-1)	26,255	26-21
May 27	Twins	7 - 2	Towers (5-3)	18,702	26-22
May 28	Twins	4 - 3	Bush (0-5)	29,263	26-23
May 29	Twins	4 - 0	Mays (3-2)	24,287	27-23
May 30	@ Mariners	4 - 3	Lilly (3-5)	25,540	27-24
May 31	@ Mariners	9 - 7	Franklin (2-7)	25,737	28-24
