Year	Award	Category	Nominated Work	Result
2002	Tony Award	Best Performance by a Leading Actress in a Musical	Thoroughly Modern Millie	Won
2002	Drama Desk Award	Outstanding Actress in a Musical	Thoroughly Modern Millie	Won
2002	Drama League Award	Distinguished Performance	Thoroughly Modern Millie	Nominated
2002	Outer Critics Circle Award	Outstanding Actress in a Musical	Thoroughly Modern Millie	Won
2002	Astaire Award	Best Actress in a Musical	Thoroughly Modern Millie	Won
2005	Tony Award	Best Performance by a Leading Actress in a Musical	Little Women	Nominated
2005	Drama Desk Award	Outstanding Actress in a Musical	Little Women	Nominated
2005	Drama League Award	Distinguished Performance	Little Women	Nominated
2005	Outer Critics Circle Award	Outstanding Actress in a Musical	Little Women	Nominated
2006	Tony Award	Best Performance by a Leading Actress in a Musical	The Drowsy Chaperone	Nominated
2006	Drama Desk Award	Outstanding Actress in a Musical	The Drowsy Chaperone	Nominated
2006	Drama League Award	Distinguished Performance	The Drowsy Chaperone	Nominated
2006	Outer Critics Circle Award	Outstanding Actress in a Musical	The Drowsy Chaperone	Nominated
2008	Drama League Award	Distinguished Performance	Young Frankenstein	Nominated
2009	Tony Award	Best Performance by a Leading Actress in a Musical	Shrek	Nominated
2009	Drama Desk Award	Outstanding Actress in a Musical	Shrek	Nominated
2009	Drama League Award	Distinguished Performance	Shrek	Nominated
2009	Outer Critics Circle Award	Outstanding Actress in a Musical	Shrek	Won
2011	Tony Award	Best Performance by a Leading Actress in a Musical	Anything Goes	Won
2011	Drama Desk Award	Outstanding Actress in a Musical	Anything Goes	Won
2011	Drama League Award	Distinguished Performance	Anything Goes	Nominated
2011	Outer Critics Circle Award	Outstanding Actress in a Musical	Anything Goes	Won
2011	Astaire Award	Best Actress in a Musical	Anything Goes	Won
2012	Teen Choice Award	Breakout Star Female	Bunheads	Nominated
2013	Critics' Choice Television Award	Best Actress in a Comedy Series	Bunheads	Nominated
