Tie no	Home team	Score	Away team	Date
1	Chester City	3–1	Doncaster Rovers	6 December 1986
2	Darlington	0–5	Wigan Athletic	6 December 1986
3	Bournemouth	0–1	Orient	6 December 1986
4	Bristol City	1–1	Bath City	6 December 1986
Replay	Bristol City	3–0	Bath City	9 December 1986
5	Rochdale	1–4	Wrexham	6 December 1986
6	Walsall	5–0	Port Vale	6 December 1986
7	Gillingham	2–0	Chelmsford City	6 December 1986
8	Notts County	0–1	Middlesbrough	7 December 1986
9	Bolton Wanderers	2–0	Tranmere Rovers	6 December 1986
10	Swindon Town	3–0	Enfield	6 December 1986
11	Chorley	0–0	Preston North End	6 December 1986
Replay	Preston North End	5–0	Chorley	9 December 1986
12	Fulham	2–0	Newport County	6 December 1986
13	Maidstone United	1–0	Cambridge United	7 December 1986
14	Southend United	4–4	Northampton Town	5 December 1986
Replay	Northampton Town	3–2	Southend United	10 December 1986
15	Scunthorpe United	1–0	Runcorn	6 December 1986
16	Cardiff City	2–0	Brentford	9 December 1986
17	Aldershot	3–2	Colchester United	6 December 1986
18	Telford United	1–0	Altrincham	6 December 1986
19	Swansea City	3–0	Slough Town	6 December 1986
20	Caernarfon Town	0–0	York City	6 December 1986
Replay	York City	1–2	Caernarfon Town	9 December 1986
