Outcome	Date	Location	Surface	Partnering	Opponent in final	Score
Winner	3 September 2000	Jaipur , India	Grass	Jennifer Schmidt	Rushmi Chakravarthi Sai-Jayalakshmy Jayaram	6–3 1–6 7–5
Winner	18 March 2001	Benalla , Australia	Grass	Samantha Stosur	Debbie Haak Jolanda Mens	6–3 7–5
Winner	3 March 2003	Warrnambool , Australia	Grass	Madita Suer	Chia-Jung Chuang Ilke Gers	6–4 6–4
Runner-up	7 September 2003	Mestre , Italy	Clay	Shelley Stephens	Leanne Baker Francesca Lubiani	2–6 6–4 2–6
Runner-up	9 May 2004	Fukuoka , Japan	Carpet	Nicole Kriz	Rika Fujiwara Saori Obata	2–6 4–6
Runner-up	17 October 2004	Mackay , Australia	Hard	Nicole Kriz	Daniella Dominikovic Evie Dominikovic	W/O
Runner-up	28 May 2005	Phuket , Thailand	Hard	Annette Kolb	Akgul Amanmuradova Napaporn Tongsalee	1–6 1–6
Runner-up	25 September 2005	Mackay, Australia	Hard	Olivia Lukaszewicz	Casey Dellacqua Daniella Dominikovic	6–7 (6–8) 6–7 (2–7)
Runner-up	13 November 2005	Port Pirie , Australia	Hard	Christina Horiatopoulos	Gréta Arn Sunitha Rao	4–6 6–3 2–6
Winner	17 March 2006	Canberra , Australia	Clay	Christina Horiatopoulos	Leanne Baker Nicole Kriz	7–6 (7–4) 6–1
Winner	24 March 2006	Melbourne , Australia	Clay	Erica Krauth	Yung-Jan Chan Chia-Jung Chuang	7–6 (7–4) 1–6 6–1
Winner	23 April 2006	Dothan, Alabama , USA	Clay	Soledad Esperón	Edina Gallovits Varvara Lepchenko	6–4 3–6 4–6
Winner	13 May 2006	Monzón , Spain	Hard	Annette Kolb	Olga Brózda Yevheniia Savranska	7–5 6–3
Winner	19 May 2006	Tenerife , Spain	Hard	Annette Kolb	Estrella Cabeza Candela Laura Vallvaerdu-Zafra	4–6 6–4 6–1
Winner	2 July 2006	Périgueux , France	Clay	Marie-Ève Pelletier	Nina Bratchikova Lioudmila Skavronskaia	6–3 6–4
Runner-up	9 July 2006	Valladolid , Spain	Hard	Soledad Esperón	Veronika Chvojkova Yana Levchenko	1–6, 6–7 (11–13)
Winner	7 October 2006	San Luis Potosí , Mexico	Hard	Marie-Ève Pelletier	Maria-José Argeri Carla Tiene	6–7 (2–7) 6–4 6–4
Runner-up	13 October 2006	Saltillo , Mexico	Hard	Marie-Ève Pelletier	Larissa Carvalho Joana Cortez	2–6 5–7
Winner	13 May 2007	Indian Harbour Beach, Florida , USA	Clay	Angela Haynes	Carly Gullickson Lindsay Lee-Waters	6–1 3–6 6–4
Winner	19 May 2007	Palm Beach Gardens, Florida , USA	Clay	Aleke Tsoubanos	Estefania Craciún Betina Jozami	7–5 2–6 6–3
Winner	29 June 2007	Istanbul , Turkey	Hard	Tetiana Luzhanska	Stanislava Hrozenská Maria Kondratieva	6–4 6–4
Runner-up	19 October 2007	Gympie , Australia	Hard	Jade Curtis	Courtney Nagle Robin Stephenson	4–6 1–6
Runner-up	7 February 2008	Mildura , Australia	Grass	Christina Wheeler	Marina Erakovic Nicole Kriz	4–6 4–6
Winner	21 March 2008	Sorrento , Australia	Hard	Melanie South	Kai-Chen Chang I-Hsuan Hwang	6–2 6–4
Runner-up	9 August 2008	Monterrey, Mexico	Hard	Melanie South	Jelena Pandžić Magdaléna Rybáriková	6–4 4–6 [8–10]
Winner	6 February 2009	Burnie , Australia	Hard	Abigail Spears	Yi-Fan Xu Yi-Miao Zhou	6–2 6–4
Winner	6 March 2009	Sydney , Australia	Hard	Lizaan Du Plessis	Xinyun Han Chun-Mei Ji	6–3 7–5
Winner	11 April 2009	Jackson, Mississippi , USA	Clay	Arina Rodionova	Laura Granville Riza Zalameda	6–3 6–4
Winner	23 May 2009	Santos , Brazil	Clay	Florencia Molinero	María Fernanda Álvarez Terán María Irigoyen	1–6 6–1 [10–7]
