Name	Pos.	Height	Weight	2012 club
Slobodan Soro Category:Articles with hCards	GK	m ()	kg (lb)	VK Partizan
Aleksa Šaponjić Category:Articles with hCards	D	m ()	kg (lb)	CA Golden Bears
Živko Gocić Category:Articles with hCards	D	m ()	kg (lb)	Szolnoki Vízilabda SC
Vanja Udovičić Category:Articles with hCards	CB	m ()	kg (lb)	Radnicki
Dušan Mandić Category:Articles with hCards	D	m ()	kg (lb)	VK Partizan
Duško Pijetlović Category:Articles with hCards	CF	m ()	kg (lb)	Crvena Zvezda
Slobodan Nikić Category:Articles with hCards	CF	m ()	kg (lb)	Galatasaray Waterpolo
Milan Aleksić Category:Articles with hCards	CB	m ()	kg (lb)	Szolnoki Vízilabda SC
Nikola Rađen Category:Articles with hCards	CB	m ()	kg (lb)	Crvena Zvezda
Filip Filipović Category:Articles with hCards	D	m ()	kg (lb)	Radnički
Andrija Prlainović Category:Articles with hCards	D	m ()	kg (lb)	Crvena Zvezda
Stefan Mitrović Category:Articles with hCards	D	m ()	kg (lb)	VK Partizan
Gojko Pijetlović Category:Articles with hCards	GK	m ()	kg (lb)	Ferencvárosi
