Name	Height	Weight	Spike	2008 club
Jelena Nikolić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Takefuji Bamboo
Jovana Brakočević Category:Articles with hCards	m ()	kg (lb)	cm (in)	Spess Volley Conegliano
Ivana Đerisilo Category:Articles with hCards	m ()	kg (lb)	cm (in)	Voléro Zürich
Nataša Krsmanović Category:Articles with hCards	m ()	kg (lb)	cm (in)	Voléro Zürich
Brižitka Molnar Category:Articles with hCards	m ()	kg (lb)	cm (in)	Metal Galati
Jovana Vesović Category:Articles with hCards	m ()	kg (lb)	cm (in)	Jedinstvo Užice
Maja Ognjenović Category:Articles with hCards	m ()	kg (lb)	cm (in)	Metal Galati
Vesna Čitaković Category:Articles with hCards	m ()	kg (lb)	cm (in)	Eczacıbaşı Istanbul
Maja Simanić Category:Articles with hCards	m ()	kg (lb)	cm (in)	ZOK Rijeka
Sanja Malagurski Category:Articles with hCards	m ()	kg (lb)	cm (in)	Hit Nova Gorica
Stefana Veljković Category:Articles with hCards	m ()	kg (lb)	cm (in)	Poštar 064 Beograd
Suzana Ćebić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Jedinstvo Užice
