Rd	Name	Pole Position	Fastest Lap	Winning driver	Winning team	Report
1	Kraco Dixie 200	Rick Mears	26.730	Gordon Johncock	Patrick Racing	Report
2	Indianapolis 500	Teo Fabi	2:53.582	Tom Sneva	Bignotti-Cotter Racing	Report
3	Dana-Rex Mays 150	Teo Fabi	26.259	Tom Sneva	Bignotti-Cotter Racing	Report
4	Budweiser Cleveland 500	Mario Andretti	1:13.516	Al Unser	Penske Racing	Report
5	Michigan 500	Teo Fabi	35.621	John Paul, Jr.	VDS Racing	Report
6	Promi Veal 200	Mario Andretti	1:58.898	Mario Andretti	Newman/Haas Racing	Report
7	Domino's Pizza 500	Tom Sneva	46.912	Teo Fabi	Forsythe Racing	Report
8	LA Times/Budweiser 500	Teo Fabi	1:30.887	Bobby Rahal	Truesports	Report
9	Escort Radar Warning 200	Bobby Rahal	1:21.364	Teo Fabi	Forsythe Racing	Report
10	Detroit News Grand Prix	Bobby Rahal	35.075	Rick Mears	Penske Racing	Report
11	Caesars Palace Grand Prix	John Paul, Jr.	34.888	Mario Andretti	Newman/Haas Racing	Report
12	Cribari Wines 300k	Teo Fabi	56.920	Teo Fabi	Forsythe Racing	Report
