Round	Date (weekend of)	Matches	Clubs	Prize money
Extra Preliminary Round	Saturday 23 August 2003	73	661 → 588	£500
Preliminary Round	Saturday 30 August 2003	182	588 → 406	£1,000
First Round Qualifying	Saturday 20 September 2003	124	406 → 282	£2,250
Second Round Qualifying	Saturday 27 September 2003	84	282 → 198	£3,750
Third Round Qualifying	Saturday 11 October 2003	42	198 → 156	£5,000
Fourth Round Qualifying	Saturday 25 October 2003	32	156 → 124	£10,000
First Round Proper	Saturday 8 November 2003	40	124 → 84	£16,000
Second Round Proper	Saturday 6 December 2003	20	84 → 64	£24,000
Third Round Proper	Saturday 3 January 2004	32	64 → 32	£40,000
Fourth Round Proper	Saturday 24 January 2004	16	32 → 16	£60,000
Fifth Round Proper	Saturday 14 February 2004	8	16 → 8	£120,000
Sixth Round Proper	Saturday 6 March 2004	4	8 → 4	£300,000
Semi-finals	Saturday 3 April 2004	2	4 → 2	£900,000
Final	Saturday 22 May 2004	1	2 → 1	£1,000,000
