Year	Single	CHR chart peak	Album	Composer(s)
1978	Sail On	3	Sail On	Chris Christian
1978	Water Grave	14	Sail On	Steve & Annie Chapman
1979	Overcomer	15	Heed The Call	James Hollihan
1979	Praise the Lord	1	Heed The Call	Brown Bannister/Mike Hudson
1979	Oh Buddha	1	Heed The Call	Mark Farrow
1980	What I Can Do for You	12	One More Song for You	Michael & Stormie Omartian
1980	I'm Forgiven	1	One More Song for You	Michael Omartian/Bruce Hibbard/Hadley Hockensmith
1980	One More Song for You	10	One More Song for You	Michael & Stormie Omartian
1981	I'd Rather Believe in You	5	Priority	Michael & Stormie Omartian
1981	Finish What You Started	2	Priority	Russ & Tori Taff/Michael Omartian
1981	The Trumpet Of Jesus	1	Priority	Michael & Stormie Omartian
1981	Be Still My Soul	19	Priority	Russ & Tori Taff
1983	Lord of the Harvest	1	Stand by the Power	Paul Smith, James Newton-Howard
1983	Somebody New	9	Stand by the Power	Paul Smith
1983	Because of Who You Are	1	Stand by the Power	Bob Farrell/ Billy Smiley
1984	Wait Upon the Lord	1	Side by Side	Paul Smith/Ragan Courtney/ Keith Thomas
1984	You're the Only Jesus	20	Side by Side	Gordon Jensen
1984	Make My Heart Your Home	13	Side by Side	Paul Smith/Keith Thomas
1985	Let the Wind Blow	1	Let the Wind Blow	David Martin
1986	In The Promised Land	9	Let the Wind Blow	Chris Eaton
1987	Devoted To You	7	This Year's Model	Ron Hemby/Stephen Bashaw
1987	Wings of Love	1	This Year's Model	Paul C. Smith
1988	Free the Fire	1	Free the Fire	Michael & Stormie Omartian
1989	The Boss	16	Free the Fire	Jimmie Lee Sloas
1989	You	6	Free the Fire	Randy Goodrum / Robbie Buchanan /Jimmie Lee
1990	Big Ball Turning	1	Love's Still Changing Hearts	Butch Stewart/Brenda Blonski
1990	It's Gonna Be Alright	4	Love's Still Changing Hearts	Ron Hemby
1990	Come into My Life	12	Love's Still Changing Hearts	Paul Chiten/Pamela Phillips-Oland
1991	Original Love	13	Love's Still Changing Hearts	Keith Brown
1993	Taking Your Love for Granted	1	Stir It Up	Michael Peterson
2008	We’ve Got a Great Big Wonderful God	3	Back to the Roots	Tim Spencer
2008	All That Matters to the Lord	9	Back to the Roots	Marty Funderburk/Twila McBride-Labar
