Round	Pick	Overall	Name	Position	College
2	22	49	Vernon Dean	CB	San Diego State
3	6	61	Carl Powell	WR	Jackson State
4	16	99	Todd Liebenstein	DE	Nevada-Las Vegas
5	22	133	Mike Williams	TE	Alabama A&M
6	14	153	Lamont Jeffers	LB	Tennessee
7	13	180	John Schactner	LB	Northern Arizona
8	28	223	Ralph Warthen	DT	Gardner-Webb
9	3	226	Ken Coffey	DB	Southwest Texas State [r ]
9	15	238	Randy Trautman	DT	Boise State
10	3	254	Harold Smith	DE	Kentucky State
10	14	265	Terry Daniels	DB	Tennessee
11	2	281	Dan Miller	K	Miami (FL)
11	12	291	Bob Holly	QB	Princeton
12	3	309	Donald Laster	OT	Tennessee State
12	16	322	Jeff Goff	LB	Arkansas
