Date	Venue	Opponents	Score	Comp	Attendance
2004-04-05	Vångavallen	Trelleborg	2-2	Allsvenskan	6 154
2004-04-13	Råsunda	AIK	3-1	Allsvenskan	32 590
2004-04-19	Olympia	Helsingborg	1-1	Allsvenskan	10 254
2004-04-25	Råsunda	Sundsvall	3-1	Allsvenskan	11 755
2004-05-02	Landskrona IP	Landskrona	0-2	Allsvenskan	6 387
2004-05-09	Råsunda	Kalmar	0-3	Allsvenskan	11 308
2004-05-12	Ryavallen	Elfsborg	0-0	Allsvenskan	5 520
2004-05-18	Råsunda	Göteborg	1-2	Allsvenskan	15 079
2004-05-24	Råsunda	ÖIS	2-1	Allsvenskan	8 711
2004-07-07	Örjans Vall	Halmstad	2-2	Allsvenskan	13 297
2004-07-14	Råsunda	Malmö	0-2	Allsvenskan	13 380
2004-07-19	Råsunda	Hammarby	0-3	Allsvenskan	24 165
2004-07-24	Råsunda	Örebro	5-1	Allsvenskan	7 701
2004-07-31	Fredriksskans	Kalmar	1-1	Allsvenskan	9 031
2004-08-07	Råsunda	Landskrona	1-1	Allsvenskan	6 998
2004-08-15	Råsunda	Halmstad	1-1	Allsvenskan	11 656
2004-08-21	Gamla Ullevi	ÖIS	1-0	Allsvenskan	3 554
2004-08-30	Eyravallen	Örebro	2-0	Allsvenskan	8 103
2004-09-11	Råsunda	Hammarby	1-0	Allsvenskan	20 750
2004-09-20	Malmö Stadion	Malmö	0-2	Allsvenskan	18 218
2004-09-23	Råsunda	AIK	1-1	Allsvenskan	18 876
2004-09-26	Råsunda	Trelleborg	5-0	Allsvenskan	5 448
2004-10-04	Ullevi	Göteborg	0-2	Allsvenskan	21 749
2004-10-17	Råsunda	Elfsborg	3-2	Allsvenskan	5 661
2004-10-25	Idrottsparken	Sundsvall	1-0	Allsvenskan	6 158
2004-10-30	Råsunda	Helsingborg	2-1	Allsvenskan	9 148
