Week	Date	Opponent	Result	Attendance
1	September 1, 1991	at Cleveland Browns	W 26–14	78,860
2	September 9, 1991	Washington Redskins	L 33–31	63,025
3	September 15, 1991	Philadelphia Eagles	L 24–0	62,656
4	September 22, 1991	at Phoenix Cardinals	W 17–9	68,814
5	September 29, 1991	New York Giants	W 21–16	64,010
6	October 6, 1991	at Green Bay Packers	W 20–17	53,695
7	October 13, 1991	Cincinnati Bengals	W 35–23	63,275
8	Bye	Bye	Bye	Bye
9	October 27, 1991	at Detroit Lions	L 34–10	74,906
10	November 3, 1991	Phoenix Cardinals	W 27–7	61,190
11	November 10, 1991	at Houston Oilers	L 26–23	63,001
12	November 17, 1991	at New York Giants	L 22–9	76,410
13	November 24, 1991	at Washington Redskins	W 24–21	55,561
14	November 28, 1991	Pittsburgh Steelers	W 20–10	62,253
15	December 8, 1991	New Orleans Saints	W 23–14	64,530
16	December 15, 1991	at Philadelphia Eagles	W 25–13	65,854
17	December 22, 1991	Atlanta Falcons	W 31–27	60,962
