Week	Date	Opponent	Result	Attendance
1	September 12, 1999	Cincinnati Bengals	W 36–35	65,272
2	September 19, 1999	Cleveland Browns	W 26–9	65,904
3	September 26, 1999	at Jacksonville Jaguars	W 20–19	61,502
4	October 3, 1999	at San Francisco 49ers	L 22-24	67,447
5	October 10, 1999	Baltimore Ravens	W 14–11	65,487
6	October 17, 1999	at New Orleans Saints	W 24–21	51,875
7	Bye	Bye	Bye	Bye
8	October 31, 1999	St. Louis Rams	W 24–21	66,415
9	November 7, 1999	at Miami Dolphins	L 0-17	74,109
10	November 14, 1999	at Cincinnati Bengals	W 24–14	46,017
11	November 21, 1999	Pittsburgh Steelers	W 16–10	66,619
12	November 28, 1999	at Cleveland Browns	W 33–21	72,008
13	December 5, 1999	at Baltimore Ravens	L 14-41	67,854
14	December 9, 1999	Oakland Raiders	W 21–14	66,357
15	December 19, 1999	Atlanta Falcons	W 30–17	66,196
16	December 26, 1999	Jacksonville Jaguars	W 41–14	66,641
17	January 2, 2000	at Pittsburgh Steelers	W 47–36	48,025
