Name	Date of Birth (Age)	Club	Caps	Goals
Goalkeepers	Goalkeepers	Goalkeepers	Goalkeepers	Goalkeepers
Izwan Mahbud	14 July 1990 (age23)	LionsXII	23	0
Hassan Sunny	2 April 1984 (age29)	Warriors FC	37	0
Fadhil Salim	24 January 1983 (age31)	Hougang United	0	0
Defenders	Defenders	Defenders	Defenders	Defenders
Shakir Hamzah	10 October 1992 (age21)	LionsXII	4	0
Baihakki Khaizan	31 January 1984 (age30)	LionsXII	104	7
Madhu Mohana	6 March 1991 (age22)	LionsXII	2	0
Safuwan Baharudin	22 September 1991 (age22)	LionsXII	29	2
Faritz Abdul Hameed	16 January 1990 (age24)	LionsXII	6	0
Afiq Yunos	10 December 1990 (age23)	Courts Young Lions	2	0
Midfielders	Midfielders	Midfielders	Midfielders	Midfielders
Isa Halim	15 May 1986 (age27)	LionsXII	55	1
Hafiz Abu Sujad	1 November 1990 (age23)	LionsXII	3	0
Shahdan Sulaiman	9 May 1988 (age25)	Tampines Rovers	31	2
Hariss Harun	19 November 1990 (age23)	LionsXII	33	5
Gabriel Quak Jun Yi	22 December 1990 (age23)	LionsXII	3	2
Zulfahmi Arifin	5 October 1991 (age22)	LionsXII	2	0
Adam Swandi	12 January 1996 (age18)	FC Metz	4	0
Strikers	Strikers	Strikers	Strikers	Strikers
Qiu Li	6 June 1981 (age32)	Balestier Khalsa	28	4
Shahril Ishak	23 January 1984 (age30)	LionsXII	106	11
Khairul Amri	15 March 1985 (age28)	Tampines Rovers	93	17
Shahfiq Ghani	17 March 1992 (age21)	LionsXII	7	1
