Round	Pick	Player	Position	Team
1	19	Steve Owens	Running Back	Oklahoma
2	45	Ray Parson	Tackle	Minnesota
3	71	Jim H. Mitchell	Defensive End	Virginia State
5	123	Bob Parker	Guard	Memphis
6	149	Tony Terry	Defensive Tackle	Southern California
7	175	Ken Geddes	Linebacker	Nebraska
9	227	Herman Weaver	Punter	Tennessee
10	253	Bruce Maxwell	Running Back	Arkansas
11	279	Roger Laird	Defensive Back	Kentucky State
12	305	Emanuel Murrell	Defensive Back	California Polytechnic State
13	331	Dave Haverdick	Defensive Tackle	Morehead State
14	357	Charlie K. Brown	Wide Receiver	Northern Arizona
15	383	Bob Haney	Tackle	Idaho
16	409	Jerry Todd	Defensive Back	Memphis
17	435	Jesse Marshall	Defensive Tackle	Centenary
