Date	Tournament	Surface	Opponent	Score
17 May 2004	Verona	Clay	Alex Vittur	6–1, 7–6
5 July 2004	Bologna	Clay	Mattia Livraghi	6–2, 6–3
3 July 2006	Biella	Clay	Ivo Minář	7–5, 3–6, 7–6
28 August 2006	Como	Clay	Federico Luzzi	4–6, 6–3, 6–2
30 April 2007	Tunis	Clay	Andrei Pavel	4–6, 7–6, 6–2
5 November 2007	Bratislava	Hard (i)	Alejandro Falla	4–6, 7–6, 6–1
28 June 2010	Turin	Clay	Potito Starace	7–6, 6–2
2 May 2011	Rome	Clay	Eduardo Schwank	2–6, 6–1, 6–3
3 March 2012	Florianópolis	Clay	Blaž Kavčič	6–4, 6–3
22 July 2012	Recanati	Hard	Fabrice Martin	6–3, 6–2
