Year	Player	Nationality	Position	Team
1993	Michael Jordan Category:Articles with hCards	United States	Shooting guard	Chicago Bulls
1994	Charles Barkley Category:Articles with hCards	United States	Power forward	Phoenix Suns
1995	Hakeem Olajuwon Category:Articles with hCards	United States	Center	Houston Rockets
1996	Hakeem Olajuwon Category:Articles with hCards (2)	United States	Center	Houston Rockets
1997	Michael Jordan Category:Articles with hCards (2)	United States	Shooting guard	Chicago Bulls
1998	Michael Jordan Category:Articles with hCards (3)	United States	Shooting guard	Chicago Bulls
1999	Michael Jordan Category:Articles with hCards (4)	United States	Shooting guard	Chicago Bulls
2000	Tim Duncan Category:Articles with hCards	United States	Power forward	San Antonio Spurs
2001	Shaquille O'Neal Category:Articles with hCards	United States	Center	Los Angeles Lakers
2002	Shaquille O'Neal Category:Articles with hCards (2)	United States	Center	Los Angeles Lakers
2003	Tim Duncan Category:Articles with hCards (2)	United States	Power forward	San Antonio Spurs
2004	Kevin Garnett Category:Articles with hCards	United States	Power forward	Minnesota Timberwolves
2005	Steve Nash Category:Articles with hCards	Canada	Point guard	Phoenix Suns
2006	Dwyane Wade Category:Articles with hCards	United States	Shooting guard	Miami Heat
2007	LeBron James Category:Articles with hCards	United States	Small forward	Cleveland Cavaliers
2008	Kobe Bryant Category:Articles with hCards	United States	Shooting guard	Los Angeles Lakers
2009	LeBron James Category:Articles with hCards (2)	United States	Small forward	Cleveland Cavaliers
2010	Kobe Bryant Category:Articles with hCards (2)	United States	Shooting guard	Los Angeles Lakers
2011	Dirk Nowitzki Category:Articles with hCards	Germany	Power forward	Dallas Mavericks
2012	LeBron James Category:Articles with hCards (3)	United States	Small forward	Miami Heat
2013	LeBron James Category:Articles with hCards (4)	United States	Small forward	Miami Heat
