Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Lampe, Maciej Maciej Lampe	15	6-11	Forward	2006	Poland
Landry, Carl Carl Landry	14	6-9	Forward	2007-10	Purdue
Langhi, Dan Dan Langhi	14	6-11	Forward	2000-02	Vanderbilt
Lantz, Stu Stu Lantz	22	6-3	Guard	1968-72	Nebraska
Leavell, Allen Allen Leavell	30	6-2	Guard	1979-89	Oklahoma City
Lee, Courtney Courtney Lee	5	6-5	Guard	2010-2012	Western Kentucky
Livingston, Randy Randy Livingston	3	6-5	Guard	1996	Louisiana State
Lloyd, Lewis Lewis Lloyd	32	6-6	Forward	1983-87, 1989-90	Drake
Lowry, Kyle Kyle Lowry	7	6-0	Guard	2009-2012	Villanova
Lucas, John John Lucas	15	5-11	Guard	2005, 2006-07	Oklahoma State
Lucas Sr., John John Lucas Sr.	5, 10, 15	6-3	Guard	1976-78, 1984-86, 1989-90	Maryland
