Rank by average	Competition finish	Couple	Total	Number of dances	Average
1	1	Alesha & Matthew	584	16	36.5
2	6	Kelly & Brendan	231	7	33.0
3	2	Matt & Flavia	526	16	32.9
3	3	Gethin & Camilla	428	13	32.9
5	9	Penny & Ian	150	5	30.0
5	11	Gabby & James	90	3	30.0
7	4	Letitia & Darren	324	11	29.5
8	7	John & Nicole	190	7	27.1
9	10	Dominic & Lilia	101	4	25.3
10	13	Stephanie & Vincent	24	1	24.0
10	5	Kenny & Ola	216	9	24.0
12	12	Willie & Erin	47	2	23.5
13	8	Kate & Anton	115	6	19.2
14	14	Brian & Karen	18	1	18.0
