Date	Course	Distance	Winner	Race Leader
18 May	Milan to Cremona	km (mi)	Vasco Bergamaschi ( ITA )	Vasco Bergamaschi ( ITA )
19 May	Cremona to Mantua	km (mi)	Domenico Piemontesi ( ITA )	Domenico Piemontesi ( ITA )
20 May	Mantua to Rovigo	km (mi)	Learco Guerra ( ITA )	Domenico Piemontesi ( ITA )
21 May	Rovigo to Cesenatico	km (mi)	Learco Guerra ( ITA )	Walter Fantini ( ITA )
22 May	Cesena to Riccione	km (mi)	Giuseppe Olmo ( ITA )	Giuseppe Olmo ( ITA )
22 May	Riccione to Portocivitanova	km (mi)	Antonio Folco ( ITA )	Giuseppe Olmo ( ITA )
23 May	Rest day	Rest day	Rest day	Rest day
24 May	Portocivitanova to L'Aquila	km (mi)	Gino Bartali ( ITA )	Vasco Bergamaschi ( ITA )
25 May	L'Aquila to Lanciano	km (mi)	Learco Guerra ( ITA )	Vasco Bergamaschi ( ITA )
26 May	Lanciano to Bari	km (mi)	Learco Guerra ( ITA )	Vasco Bergamaschi ( ITA )
27 May	Rest day	Rest day	Rest day	Rest day
28 May	Bari to Naples	km (mi)	Raffaele Di Paco ( ITA )	Vasco Bergamaschi ( ITA )
29 May	Rest day	Rest day	Rest day	Rest day
30 May	Naples to Rome	km (mi)	Learco Guerra ( ITA )	Vasco Bergamaschi ( ITA )
31 May	Rome to Florence	km (mi)	Vasco Bergamaschi ( ITA )	Vasco Bergamaschi ( ITA )
1 June	Rest day	Rest day	Rest day	Rest day
2 June	Florence to Montecatini Terme	km (mi)	Giuseppe Olmo ( ITA )	Vasco Bergamaschi ( ITA )
3 June	Montecatini Terme to Lucca	km (mi)	René Debenne ( FRA )	Vasco Bergamaschi ( ITA )
3 June	Lucca to Viareggio	km (mi)	Maurice Archambaud ( FRA )	Vasco Bergamaschi ( ITA )
4 June	Viareggio to Genoa	km (mi)	Raffaele Di Paco ( ITA )	Vasco Bergamaschi ( ITA )
5 June	Rest day	Rest day	Rest day	Rest day
6 June	Genoa to Cuneo	km (mi)	Giuseppe Olmo ( ITA )	Vasco Bergamaschi ( ITA )
7 June	Cuneo to Asti	km (mi)	Giuseppe Olmo ( ITA )	Vasco Bergamaschi ( ITA )
8 June	Asti to Turin	km (mi)	Raffaele Di Paco ( ITA )	Vasco Bergamaschi ( ITA )
9 June	Turin to Milan	km (mi)	Raffaele Di Paco ( ITA )	Vasco Bergamaschi ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
