Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
61	March 3	@ Charlotte	L 80–96 (OT)	Ben Gordon , Tyrus Thomas (14)	Tyrus Thomas (12)	Time Warner Cable Arena 14,216	27–34
62	March 4	Golden State	W 110–88 (OT)	John Salmons (23)	Joakim Noah (17)	United Center 20,108	28–34
63	March 6	Milwaukee	W 117–102 (OT)	Ben Gordon (34)	Joakim Noah (13)	United Center 21,186	29–34
64	March 9	@ Miami	L 127–130 (2OT)	Ben Gordon (43)	Joakim Noah (15)	American Airlines Arena 19,600	29–35
65	March 11	@ Orlando	L 79–107 (OT)	John Salmons (18)	John Salmons (8)	Amway Arena 17,461	29–36
66	March 13	@ Philadelphia	L 101–104 (OT)	Derrick Rose (20)	Joakim Noah (9)	Wachovia Center 17,563	29–37
67	March 14	New Orleans	W 97–79 (OT)	Ben Gordon (27)	Brad Miller , Joakim Noah (9)	United Center 22,135	30–37
68	March 17	Boston	W 127–121 (OT)	John Salmons (38)	Brad Miller (14)	United Center 22,107	31–37
69	March 18	@ Oklahoma City	W 103–96 (OT)	Derrick Rose (25)	Tyrus Thomas (11)	Ford Center 19,136	32–37
70	March 21	L.A. Lakers	L 109–117 (OT)	John Salmons (30)	Tyrus Thomas (16)	United Center 23,011	32–38
71	March 23	@ Washington	W 101–99 (OT)	Ben Gordon (21)	Joakim Noah (12)	Verizon Center 15,421	33–38
72	March 24	Detroit	W 99–91 (OT)	Kirk Hinrich (24)	Tyrus Thomas (12)	United Center 20,502	34–38
73	March 26	Miami	W 106–87 (OT)	John Salmons (27)	Tyrus Thomas (12)	United Center 21,908	35–38
74	March 28	Indiana	W 112–106 (OT)	Ben Gordon (25)	Derrick Rose (9)	United Center 20,756	36–38
75	March 29	@ Toronto	L 129–134 (OT)	Ben Gordon (37)	Brad Miller (10)	Air Canada Centre 18,949	36–39
76	March 31	@ Indiana	L 105–107 (OT)	Derrick Rose (24)	Derrick Rose (11)	Conseco Fieldhouse 15,687	36–40
