Year	Title	Original channel	Role	Note
2003	Yankee Bokou ni Kaeru	TBS	Noriyuki Takahashi	Co-star
2005	Hana Yori Dango	TBS	Sojiro Nishikado	Supporting
2006	Regatta	TV Asahi	Seiya Yagi	Supporting
2006	Top Caster	Fuji TV	Shunpei Iga	Supporting
2006	Aru Ai no Uta	TBS	Takumi Nanase	Co-star
2007	Jotei	TV Asahi	Date Naoto	Co-star
2007	Liar Game	Fuji TV	Akiyama Shinichi	Co-star
2007	Hana Yori Dango 2	TBS	Sojiro Nishikado	Supporting
2008	Bara no nai Hanaya	Fuji TV	Naoya Kudo	Supporting
2008	Rokumeikan	TV Asahi	Hisao Kiyohara	Supporting
2008	Atsuhime	NHK	Tokugawa Iemochi	Supporting
2009	Meitantei no Okite	TV Asahi	Daigoro Tenkaichi	Lead role
2009	Love Shuffle	TBS	Ojiro Sera	Supporting
2009	Liar Game 2	Fuji TV	Shinichi Akiyama	Co-star
2010	Tsuki no Koibito	Fuji TV	Kazami Sai	Supporting
2010	Nagareboshi	Fuji TV	Ryo Kamiya	Supporting
2011	Don Quixote	NTV	Masataka Shirota	Lead role
2012	Taira no Kiyomori	NHK	Emperor Go-Shirakawa	Co-star
2013	Sennyû Tantei Tokage	TBS	Oribe Toru	Lead role
