Team	Location	Venue	Capacity	Position in 2000
Slavia	Mozyr	Yunost	5,500	1
BATE	Borisov	City Stadium, Borisov	5,500	2
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	3
Neman-Belcard	Grodno	Neman	6,300	4
Shakhtyor	Soligorsk	Stroitel	5,000	5
Gomel	Gomel	Central, Gomel	11,800	6
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	7
Torpedo-MAZ	Minsk	Torpedo, Minsk	5,200	8
Belshina	Bobruisk	Spartak, Bobruisk	3,550	9
Dinamo Brest	Brest	OSK Brestskiy	10,080	10
Lokomotiv-96	Vitebsk	Central, Vitebsk	8,300	11
Vedrich-97	Rechytsa	Central, Rechytsa	3,550	12
Naftan	Novopolotsk	Atlant	6,500	13
Molodechno-2000	Molodechno	City Stadium, Molodechno	5,500	First league , 1
