Year	Points	Rebounds	Assists	Steals	Blocks
1995	Dubravko Zemljić (22)	2 tied (8)	Giacomo Galanda (2)	Giacomo Galanda (3)	2 tied (1)
1996	Vladimir Bogojević (22)	Vladimir Bogojević (7)	Vladimir Bogojević (7)	Vladimir Bogojević (3)	4 tied (1)
1997	Igor Rakočević (17)	Jérôme Moïso (8)	Lucas Victoriano (4)	3 tied (1)	Ruben Boumtje-Boumtje (4)
1998	Dirk Nowitzki (33)	Dirk Nowitzki (14)	Dimitri Lauwers (4)	Dirk Nowitzki (3)	2 tied (1)
1999	Vlado Ilievski (19)	2 tied (8)	Vlado Ilievski (5)	2 tied (2)	Olumide Oyedeji (2)
2000	Tony Parker (20)	Olumide Oyedeji (13)	Tony Parker (7)	3 tied (2)	3 tied (1)
2004	Luka Bogdanović (20)	Michael Schroeder (9)	Marcus Vinicius Viera (3)	2 tied (2)	None
2005	Martynas Pocius (20)	Jevohn Shepard (7)	Michael Mokongo (5)	Michael Mokongo (2)	Dušan Šakota (2)
2006	Milenko Tepić (16)	Daniel Clark (10)	Patrick Mills (6)	Daniel Clark (2)	Mouhamed Sene (9)
2007	Nicolas Batum (23)	Nemanja Aleksandrov (14)	Petteri Koponen (6)	Nicolas Batum (4)	Solomon Alabi (3)
2008	Alexis Ajinça (13)	Alexis Ajinça (9)	Zygimantas Janavicious (5)	3 tied (2)	Alexis Ajinça (3)
2009	Milan Mačvan (23)	Milan Mačvan (14)	Milan Mačvan (6)	Nikolaos Pappas (4)	Kevin Seraphin (2)
2010	Enes Kanter (34)	Enes Kanter (13)	Mael Lebrun (4)	5 tied (1)	3 tied (1)
2011	Mateusz Ponitka (17)	Bismack Biyombo (11)	Raul Togni Neto (4)	Raul Togni Neto (2)	Bismack Biyombo (10)
2012	Andrew Wiggins (20)	Dario Šarić (14)	Dario Šarić (5)	Léo Westermann (2)	Andrew Wiggins (2)
