Game	January	Opponent	Score	Location/Attendance	Record	Points
38	1	@ Carolina Hurricanes	3-6	RBC Center - 16,107	10-26-2	22
39	4	Minnesota Wild	1-2	Prudential Center - 13,257	10-27-2	22
40	6	Philadelphia Flyers	2-4	Prudential Center - 15,098	10-28-2	22
41	8	@ Philadelphia Flyers	1-2	Wells Fargo Center - 19,859	10-29-2	22
42	9	Tampa Bay Lightning	6-3	Prudential Center - 16,194	11-29-2	24
43	14	@ Tampa Bay Lightning	5-2	St. Pete Times Forum - 18,736	12-29-2	26
44	15	@ Florida Panthers	2-3 (OT)	BankAtlantic Center - 17,825	12-29-3	27
45	17	@ New York Islanders	5-2	Nassau Veterans Memorial Coliseum - 13,119	13-29-3	29
46	20	Pittsburgh Penguins	2-0	Prudential Center - 14,890	14-29-3	31
47	22	@ Philadelphia Flyers	3-1	Wells Fargo Center - 19,847	15-29-3	33
48	23	Florida Panthers	5-2	Prudential Center - 15,109	16-29-3	35
