Election	Candidate	Number of votes	Share of votes	Outcome of election
1935	Manuel L. Quezon	695,332	67.99%	Won
1941	Manuel L. Quezon	1,340,320	81.78%	Won
1946	Sergio Osmeña	1,129,996	45.71%	Lost
1949	José P. Laurel	1,318,330	37.22%	Lost
1953	Ramon Magsaysay	2,912,992	68.90%	Won
1957	Carlos P. Garcia	2,072,257	41.28%	Won
1961	Carlos P. Garcia	2,902,996	44.95%	Lost
1965	Ferdinand Marcos	3,861,324	51.94%	Won
1969	Ferdinand Marcos	5,017,343	61.47%	Won
1981	Alejo Santos (Roy wing)	1,716,449	8.25%	Lost; main wing boycotted
1986	N/A	N/A	N/A	Supported Corazon Aquino who became president.
1992	Salvador Laurel	770,046	3.40%	Lost
1998	N/A	N/A	N/A	Did not take part
2004	N/A	N/A	N/A	Supported Gloria Macapagal-Arroyo who won
2010	Manny Villar	5,573,835	15.42%	Lost
