Rank	Name	Span metres	Span feet	Material	Year opened	Country
1	Chaotianmen Bridge	552	1811	steel	2009	China
2	Lupu Bridge	550	1804	steel	2003	China
3	Bosideng Bridge	530	1739	CFST	2012	China
4	New River Gorge Bridge	518	1699	steel	1977	United States
5	Bayonne Bridge	510	1673	steel	1931	United States
6	Sydney Harbour Bridge	503	1650	steel	1932	Australia
7	Wushan Bridge	460	1509	CFST	2005	China
8	Mingzhou Bridge	450	1476	steel	2011	China
9	Zhijinghe River Bridge	430	1411	CFST	2009	China
10	Xinguang Bridge	428	1404	steel	2008	China
11	Wanxian Bridge	420	1378	concrete	1997	China
12	Caiyuanba Bridge	420	1378	steel	2007	China
13	Lianxiang Bridge	400	1312	CFST	2007	China
14	Daninghe Bridge	400	1312	steel	2010	China
15	Krk Bridge	390	1280	concrete	1980	Croatia
16	Fremont Bridge	382	1253	steel	1973	United States
17	Hiroshima Airport Bridge	380	1247	steel	2010	Japan
18	Maocaojie Bridge	368	1207	CFST	2006	China
19	Old Port Mann Bridge	366	1201	steel	1964	Canada
20	Zhaohua Jialing River Bridge	364	1194	concrete	2012	China
21	Žďákov Bridge	362	1188	steel	1967	Czech Republic
22	Yajisha Bridge	360	1181	CFST	2000	China
23	Wanzhou Railway Bridge	360	1181	steel	2005	China
24	Bridge of the Americas	344	1129	steel	1962	Panama
25	Xiaohe River Bridge	338	1109	CFST	2010	China
26	Taipinghu Bridge	336	1102	CFST	2007	China
27	Dashengguan Bridge	336	1102	steel	2009	China
28	Laviolette Bridge	335	1099	steel	1967	Canada
29	Nanning Yonghe Bridge	335	1099	CFST	2004	China
30	Silver Jubilee Bridge	330	1083	steel	1961	United Kingdom
31	Jiangjiehe Bridge	330	1083	concrete	1993	China
32	Birchenough Bridge	329	1079	steel	1935	Zimbabwe
33	Roosevelt Lake Bridge	329	1079	steel	1990	United States
34	Mike O'Callaghan-Pat Tillman Memorial Bridge	323	1060	concrete	2010	United States
35	Glen Canyon Dam Bridge	313	1027	steel	1959	United States
36	Yongjiang Bridge	312	1024	concrete	1996	China
37	Chunan Nanpu Bridge	308	1010	CFST	2003	China
38	Pentele Bridge	308	1010	steel	2007	Hungary
39	Lewiston-Queenston Bridge	305	1001	steel	1962	United States Canada
40	Gladesville Bridge	305	1001	concrete	1964	Australia
41	Van Brienenoordbrug (new, westbound)	305	1001	steel	1990	Netherlands
42	Shin Kizugawa Bridge	305	1001	steel	1994	Japan
43	Perrine Bridge	303	994	steel	1974	United States
44	Seri Saujana Bridge	300	984	steel	2003	Malaysia
45	Chancheng Dongping Bridge	300	984	steel	2006	China
46	Ling-Tie Bridge	300	984	steel	2009	China
47	Hell Gate Bridge	298	978	steel	1916	United States
48	Ohmishima Bridge	297	974	steel	1979	Japan
49	Friendship Bridge (Paraguay–Brazil)	290	951	concrete	1965	Paraguay Brazil
50	Meixi River Bridge	288	945	CFST	2001	China
51	Van Brienenoordbrug (old, eastbound)	287.5	944	steel	1965	Netherlands
52	Rainbow Bridge (Niagara Falls)	286	940	steel	1941	United States Canada
53	Second Blue Water Bridge	281	922	steel	1997	United States Canada
54	Qingchuan Bridge	280	919	CFST	2000	China
55	Yumemai Bridge	280	919	steel	2001	Japan
56	Infante D. Henrique Bridge	280	919	concrete	2002	Portugal
57	Dongguang Shuidao Bridge	280	919	CFST	2005	China
58	Almö Bridge	278	912	steel	1960 (collapsed 1980)	Sweden
59	Moundsville Bridge	278	912	steel	1986	United States
60	Jefferson Barracks Bridge	277	909	steel	1983	United States
61	Eto Bridge	275	902	steel	1995	Japan
62	Yichang Railway Bridge	275	902	CFST	2008	China
