Pick #	MLS Team	Player	Position	Affiliation
31	Dallas Burn	David Wagenfuhr	D	Creighton University
32	Columbus Crew	Jamal Sutton	F	SMS (now Missouri State)
33	Los Angeles Galaxy	David McGill	M	UC Santa Barbara
34	D.C. United	Josh Gros	M	Rutgers University
35	Colorado Rapids	Kevin Richards	D	University of Notre Dame
36	MetroStars	* Michael Bradley	M	Project-40
37	Kansas City Wizards	Jay Alberts	M	Yale University
38	Chicago Fire	Denny Clanton	D	University of Dayton
39	Chicago Fire	Phil Hucles	D	The College of William & Mary
40	San Jose Earthquakes	Marin Pusek	M	UAB
