No. in series	No. in season	Title	Directed by	Written by	Featured character(s)	Original air date	U.S. viewers (million)
87	1	" Because You Left "	Stephen Williams	Damon Lindelof & Carlton Cuse	None	January21,2009	11.66
88	2	" The Lie "	Jack Bender	Edward Kitsis & Adam Horowitz	Hurley	January21,2009	11.08
89	3	" Jughead "	Rod Holcomb	Elizabeth Sarnoff & Paul Zbyszewski	Desmond	January28,2009	11.07
90	4	" The Little Prince "	Stephen Williams	Brian K. Vaughan & Melinda Hsu Taylor	Kate	February4,2009	10.98
91	5	" This Place Is Death "	Paul Edwards	Edward Kitsis & Adam Horowitz	Sun & Jin	February11,2009	9.77
92	6	" 316 "	Stephen Williams	Damon Lindelof & Carlton Cuse	Jack	February18,2009	11.27
93	7	" The Life and Death of Jeremy Bentham "	Jack Bender	Carlton Cuse & Damon Lindelof	Locke	February25,2009	9.82
94	8	" LaFleur "	Mark Goldman	Elizabeth Sarnoff & Kyle Pennington	Sawyer	March4,2009	10.61
95	9	" Namaste "	Jack Bender	Paul Zbyszewski & Brian K. Vaughan	None	March18,2009	9.08
96	10	" He's Our You "	Greg Yaitanes	Edward Kitsis & Adam Horowitz	Sayid	March25,2009	8.82
97	11	" Whatever Happened, Happened "	Bobby Roth	Carlton Cuse & Damon Lindelof	Kate	April1,2009	9.35
98	12	" Dead Is Dead "	Stephen Williams	Brian K. Vaughan & Elizabeth Sarnoff	Ben	April8,2009	8.29
99	13	" Some Like It Hoth "	Jack Bender	Melinda Hsu Taylor & Greggory Nations	Miles	April15,2009	9.23
100	14	" The Variable "	Paul Edwards	Edward Kitsis & Adam Horowitz	Faraday	April29,2009	9.04
101	15	" Follow the Leader "	Stephen Williams	Paul Zbyszewski & Elizabeth Sarnoff	None	May6,2009	8.70
