District	Incumbent	Party	First elected	Result	Candidates
Illinois 2	Morgan F. Murphy	Democratic	1970	Re-elected	Morgan F. Murphy (D) 84.7% Spencer Leak (R) 15.3%
Illinois 4	Ed Derwinski	Republican	1958	Re-elected	Ed Derwinski (R) 65.8% Ronald A. Rodger (D) 34.2%
Illinois 5	John G. Fary	Democratic	1975	Re-elected	John G. Fary (D) 76.9% Vincent Krok (R) 23.1%
Illinois 6	Henry Hyde	Republican	1974	Re-elected	Henry Hyde (R) 60.6% Marilyn D. Clancy (D) 39.4%
Illinois 7	Cardiss Collins	Democratic	1973	Re-elected	Cardiss Collins (D) 84.8% Newell Ward (R) 15.2%
Illinois 10	Abner J. Mikva	Democratic	1974	Re-elected	Abner J. Mikva (D) 50.0% Samuel H. Young (R) 50.0%
Illinois 11	Frank Annunzio	Democratic	1964	Re-elected	Frank Annunzio (D) 67.4% Daniel C. Reber (R) 32.6%
Illinois 12	Phil Crane	Republican	1969	Re-elected	Phil Crane (R) 72.8% Edwin L. Frank (D) 27.2%
Illinois 15	Tim Lee Hall	Democratic	1974	Lost re-election Republican gain	Tom Corcoran (R) 53.9% Tim Lee Hall (D) 46.1%
Illinois 18	Robert H. Michel	Republican	1956	Re-elected	Robert H. Michel (R) 57.7% Matthew Ryan (D) 42.3%
Illinois 19	Tom Railsback	Republican	1966	Re-elected	Tom Railsback (R) 68.5% John Craver (D) 31.5%
Illinois 20	Paul Findley	Republican	1960	Re-elected	Paul Findley (R) 63.6% Peter F. Mack (D) 36.4%
Illinois 23	Melvin Price	Democratic	1944	Re-elected	Melvin Price (D) 78.6% Sam P. Drenovac (R) 21.4%
